## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/AgilentQXT-IDT-0720ME25_S12_L001/gc_bias_metrics.pdf SUMMARY_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/AgilentQXT-IDT-0720ME25_S12_L001/summary_metrics.txt INPUT=/scratch/Shares/layer/projects/chco/bake_off_temp_files/bams_filtered_to_acmg_59/AgilentQXT-IDT-0720ME25_S12_L001.bqsr.bam OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/AgilentQXT-IDT-0720ME25_S12_L001/gc_bias_metrics.txt REFERENCE_SEQUENCE=/scratch/Shares/layer/ref/hg37/human_g1k_v37.fasta.gz    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 18 11:41:49 MDT 2020

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	132619	0	0	0	0			
All Reads	ALL	1	95016	0	0	0	0			
All Reads	ALL	2	109250	0	0	0	0			
All Reads	ALL	3	139082	0	0	0	0			
All Reads	ALL	4	149438	0	0	0	0			
All Reads	ALL	5	152532	0	0	0	0			
All Reads	ALL	6	173446	0	0	0	0			
All Reads	ALL	7	187203	0	0	0	0			
All Reads	ALL	8	213554	0	0	0	0			
All Reads	ALL	9	241757	0	0	0	0			
All Reads	ALL	10	285954	0	0	0	0			
All Reads	ALL	11	351175	0	0	0	0			
All Reads	ALL	12	460264	1	20	0.022381	0.022381			
All Reads	ALL	13	609431	1	0	0.016903	0.016903			
All Reads	ALL	14	866131	1	20	0.011893	0.011893			
All Reads	ALL	15	1276991	1	0	0.008067	0.008067			
All Reads	ALL	16	1912298	11	19	0.059253	0.017866			
All Reads	ALL	17	2873264	10	0	0.035851	0.011337			
All Reads	ALL	18	4310883	17	24	0.040622	0.009852			
All Reads	ALL	19	6364320	31	24	0.050175	0.009012			
All Reads	ALL	20	9194506	64	23	0.071702	0.008963			
All Reads	ALL	21	12934834	83	23	0.066099	0.007255			
All Reads	ALL	22	17664262	150	25	0.087473	0.007142			
All Reads	ALL	23	23450931	202	22	0.08873	0.006243			
All Reads	ALL	24	30272954	370	25	0.125899	0.006545			
All Reads	ALL	25	37967796	570	24	0.154645	0.006477			
All Reads	ALL	26	46244861	906	23	0.201809	0.006705			
All Reads	ALL	27	54888845	1014	25	0.190296	0.005976			
All Reads	ALL	28	63607757	1286	24	0.208261	0.005807			
All Reads	ALL	29	72092623	1634	24	0.233474	0.005776			
All Reads	ALL	30	80150381	2414	24	0.310248	0.006315			
All Reads	ALL	31	87582575	2792	25	0.328378	0.006215			
