## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/AgilentQXT-IDT-1501199_S8_L001/gc_bias_metrics.pdf SUMMARY_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/AgilentQXT-IDT-1501199_S8_L001/summary_metrics.txt INPUT=/scratch/Shares/layer/projects/chco/bake_off_temp_files/bams_filtered_to_acmg_59/AgilentQXT-IDT-1501199_S8_L001.bqsr.bam OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/AgilentQXT-IDT-1501199_S8_L001/gc_bias_metrics.txt REFERENCE_SEQUENCE=/scratch/Shares/layer/ref/hg37/human_g1k_v37.fasta.gz    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 18 11:57:01 MDT 2020

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	132619	0	0	0	0			
All Reads	ALL	1	95016	0	0	0	0			
All Reads	ALL	2	109250	0	0	0	0			
All Reads	ALL	3	139082	0	0	0	0			
All Reads	ALL	4	149438	0	0	0	0			
All Reads	ALL	5	152532	0	0	0	0			
All Reads	ALL	6	173446	0	0	0	0			
All Reads	ALL	7	187203	0	0	0	0			
All Reads	ALL	8	213554	0	0	0	0			
All Reads	ALL	9	241757	0	0	0	0			
All Reads	ALL	10	285954	0	0	0	0			
All Reads	ALL	11	351175	0	0	0	0			
All Reads	ALL	12	460264	1	20	0.017517	0.017517			
All Reads	ALL	13	609431	1	13	0.01323	0.01323			
All Reads	ALL	14	866131	0	0	0	0			
All Reads	ALL	15	1276991	0	0	0	0			
All Reads	ALL	16	1912298	6	21	0.025297	0.010328			
All Reads	ALL	17	2873264	9	0	0.025255	0.008418			
All Reads	ALL	18	4310883	6	28	0.011222	0.004581			
All Reads	ALL	19	6364320	33	24	0.041806	0.007278			
All Reads	ALL	20	9194506	42	23	0.03683	0.005683			
All Reads	ALL	21	12934834	97	23	0.060463	0.006139			
All Reads	ALL	22	17664262	136	24	0.062076	0.005323			
All Reads	ALL	23	23450931	186	26	0.063948	0.004689			
All Reads	ALL	24	30272954	367	24	0.097744	0.005102			
All Reads	ALL	25	37967796	554	24	0.117645	0.004998			
All Reads	ALL	26	46244861	997	24	0.173824	0.005505			
All Reads	ALL	27	54888845	1106	25	0.162461	0.004885			
All Reads	ALL	28	63607757	1513	24	0.191781	0.00493			
All Reads	ALL	29	72092623	1941	25	0.217076	0.004927			
All Reads	ALL	30	80150381	2713	25	0.272911	0.00524			
All Reads	ALL	31	87582575	3105	25	0.285839	0.00513			
