## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/AgilentQXT-IDT-GIAB_S48_L002/gc_bias_metrics.pdf SUMMARY_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/AgilentQXT-IDT-GIAB_S48_L002/summary_metrics.txt INPUT=/scratch/Shares/layer/projects/chco/bake_off_temp_files/bams_filtered_to_acmg_59/AgilentQXT-IDT-GIAB_S48_L002.bqsr.bam OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/AgilentQXT-IDT-GIAB_S48_L002/gc_bias_metrics.txt REFERENCE_SEQUENCE=/scratch/Shares/layer/ref/hg37/human_g1k_v37.fasta.gz    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 18 12:04:42 MDT 2020

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	132619	0	0	0	0			
All Reads	ALL	1	95016	0	0	0	0			
All Reads	ALL	2	109250	0	0	0	0			
All Reads	ALL	3	139082	0	0	0	0			
All Reads	ALL	4	149438	0	0	0	0			
All Reads	ALL	5	152532	0	0	0	0			
All Reads	ALL	6	173446	0	0	0	0			
All Reads	ALL	7	187203	0	0	0	0			
All Reads	ALL	8	213554	0	0	0	0			
All Reads	ALL	9	241757	0	0	0	0			
All Reads	ALL	10	285954	0	0	0	0			
All Reads	ALL	11	351175	1	0	0.036557	0.036557			
All Reads	ALL	12	460264	1	20	0.027893	0.027893			
All Reads	ALL	13	609431	0	0	0	0			
All Reads	ALL	14	866131	3	0	0.044467	0.025673			
All Reads	ALL	15	1276991	0	0	0	0			
All Reads	ALL	16	1912298	5	22	0.033567	0.015012			
All Reads	ALL	17	2873264	21	0	0.09383	0.020475			
All Reads	ALL	18	4310883	14	23	0.041693	0.011143			
All Reads	ALL	19	6364320	26	27	0.052447	0.010286			
All Reads	ALL	20	9194506	45	28	0.062832	0.009366			
All Reads	ALL	21	12934834	55	24	0.054588	0.007361			
All Reads	ALL	22	17664262	98	24	0.071224	0.007195			
All Reads	ALL	23	23450931	179	29	0.097992	0.007324			
All Reads	ALL	24	30272954	260	25	0.110259	0.006838			
All Reads	ALL	25	37967796	442	23	0.149452	0.007109			
All Reads	ALL	26	46244861	750	24	0.208206	0.007603			
All Reads	ALL	27	54888845	795	26	0.185943	0.006595			
All Reads	ALL	28	63607757	1034	25	0.208692	0.00649			
All Reads	ALL	29	72092623	1336	24	0.23791	0.006509			
All Reads	ALL	30	80150381	1890	25	0.302728	0.006963			
All Reads	ALL	31	87582575	2150	26	0.31515	0.006797			
