## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/AgilentQXT-Roche-0720ME25_S4_L001/gc_bias_metrics.pdf SUMMARY_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/AgilentQXT-Roche-0720ME25_S4_L001/summary_metrics.txt INPUT=/scratch/Shares/layer/projects/chco/bake_off_temp_files/bams_filtered_to_acmg_59/AgilentQXT-Roche-0720ME25_S4_L001.bqsr.bam OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/AgilentQXT-Roche-0720ME25_S4_L001/gc_bias_metrics.txt REFERENCE_SEQUENCE=/scratch/Shares/layer/ref/hg37/human_g1k_v37.fasta.gz    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 18 12:12:16 MDT 2020

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	132619	0	0	0	0			
All Reads	ALL	1	95016	0	0	0	0			
All Reads	ALL	2	109250	0	0	0	0			
All Reads	ALL	3	139082	0	0	0	0			
All Reads	ALL	4	149438	0	0	0	0			
All Reads	ALL	5	152532	0	0	0	0			
All Reads	ALL	6	173446	0	0	0	0			
All Reads	ALL	7	187203	0	0	0	0			
All Reads	ALL	8	213554	0	0	0	0			
All Reads	ALL	9	241757	0	0	0	0			
All Reads	ALL	10	285954	0	0	0	0			
All Reads	ALL	11	351175	4	23	0.084479	0.04224			
All Reads	ALL	12	460264	1	14	0.016114	0.016114			
All Reads	ALL	13	609431	6	22	0.07302	0.02981			
All Reads	ALL	14	866131	1	0	0.008563	0.008563			
All Reads	ALL	15	1276991	0	0	0	0			
All Reads	ALL	16	1912298	14	19	0.054298	0.014512			
All Reads	ALL	17	2873264	14	24	0.036138	0.009658			
All Reads	ALL	18	4310883	21	24	0.03613	0.007884			
All Reads	ALL	19	6364320	47	26	0.054772	0.007989			
All Reads	ALL	20	9194506	114	23	0.091958	0.008613			
All Reads	ALL	21	12934834	105	21	0.060206	0.005876			
All Reads	ALL	22	17664262	192	24	0.080616	0.005818			
All Reads	ALL	23	23450931	285	23	0.090136	0.005339			
All Reads	ALL	24	30272954	495	23	0.121273	0.005451			
All Reads	ALL	25	37967796	691	24	0.134982	0.005135			
All Reads	ALL	26	46244861	1175	24	0.188447	0.005498			
All Reads	ALL	27	54888845	1354	24	0.182957	0.004972			
All Reads	ALL	28	63607757	1638	24	0.190993	0.004719			
All Reads	ALL	29	72092623	1988	24	0.204522	0.004587			
All Reads	ALL	30	80150381	2921	24	0.270296	0.005001			
All Reads	ALL	31	87582575	3431	24	0.290548	0.00496			
