## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/AgilentQXT-Roche-1501199_S1_L001/gc_bias_metrics.pdf SUMMARY_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/AgilentQXT-Roche-1501199_S1_L001/summary_metrics.txt INPUT=/scratch/Shares/layer/projects/chco/bake_off_temp_files/bams_filtered_to_acmg_59/AgilentQXT-Roche-1501199_S1_L001.bqsr.bam OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/AgilentQXT-Roche-1501199_S1_L001/gc_bias_metrics.txt REFERENCE_SEQUENCE=/scratch/Shares/layer/ref/hg37/human_g1k_v37.fasta.gz    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 18 12:27:40 MDT 2020

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	132619	0	0	0	0			
All Reads	ALL	1	95016	0	0	0	0			
All Reads	ALL	2	109250	0	0	0	0			
All Reads	ALL	3	139082	0	0	0	0			
All Reads	ALL	4	149438	0	0	0	0			
All Reads	ALL	5	152532	0	0	0	0			
All Reads	ALL	6	173446	0	0	0	0			
All Reads	ALL	7	187203	0	0	0	0			
All Reads	ALL	8	213554	0	0	0	0			
All Reads	ALL	9	241757	0	0	0	0			
All Reads	ALL	10	285954	0	0	0	0			
All Reads	ALL	11	351175	2	0	0.028441	0.020111			
All Reads	ALL	12	460264	1	20	0.01085	0.01085			
All Reads	ALL	13	609431	5	13	0.040972	0.018323			
All Reads	ALL	14	866131	2	13	0.011532	0.008154			
All Reads	ALL	15	1276991	1	17	0.003911	0.003911			
All Reads	ALL	16	1912298	5	27	0.013057	0.005839			
All Reads	ALL	17	2873264	28	23	0.048666	0.009197			
All Reads	ALL	18	4310883	23	17	0.026644	0.005556			
All Reads	ALL	19	6364320	51	22	0.040018	0.005604			
All Reads	ALL	20	9194506	89	26	0.048339	0.005124			
All Reads	ALL	21	12934834	102	27	0.03938	0.003899			
All Reads	ALL	22	17664262	212	26	0.059935	0.004116			
All Reads	ALL	23	23450931	308	24	0.065589	0.003737			
All Reads	ALL	24	30272954	514	25	0.084791	0.00374			
All Reads	ALL	25	37967796	663	25	0.087204	0.003387			
All Reads	ALL	26	46244861	1208	25	0.13045	0.003753			
All Reads	ALL	27	54888845	1507	25	0.13711	0.003532			
All Reads	ALL	28	63607757	2028	24	0.15922	0.003536			
All Reads	ALL	29	72092623	2332	25	0.161539	0.003345			
All Reads	ALL	30	80150381	3394	25	0.211469	0.00363			
All Reads	ALL	31	87582575	4026	25	0.22956	0.003618			
