## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/AgilentQXT-Roche-GIAB_S40_L002/gc_bias_metrics.pdf SUMMARY_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/AgilentQXT-Roche-GIAB_S40_L002/summary_metrics.txt INPUT=/scratch/Shares/layer/projects/chco/bake_off_temp_files/bams_filtered_to_acmg_59/AgilentQXT-Roche-GIAB_S40_L002.bqsr.bam OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/AgilentQXT-Roche-GIAB_S40_L002/gc_bias_metrics.txt REFERENCE_SEQUENCE=/scratch/Shares/layer/ref/hg37/human_g1k_v37.fasta.gz    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 18 12:36:11 MDT 2020

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	132619	0	0	0	0			
All Reads	ALL	1	95016	0	0	0	0			
All Reads	ALL	2	109250	0	0	0	0			
All Reads	ALL	3	139082	0	0	0	0			
All Reads	ALL	4	149438	0	0	0	0			
All Reads	ALL	5	152532	0	0	0	0			
All Reads	ALL	6	173446	0	0	0	0			
All Reads	ALL	7	187203	0	0	0	0			
All Reads	ALL	8	213554	0	0	0	0			
All Reads	ALL	9	241757	0	0	0	0			
All Reads	ALL	10	285954	2	0	0.02304	0.016292			
All Reads	ALL	11	351175	3	0	0.028142	0.016248			
All Reads	ALL	12	460264	2	0	0.014315	0.010122			
All Reads	ALL	13	609431	3	25	0.016216	0.009363			
All Reads	ALL	14	866131	5	19	0.019017	0.008505			
All Reads	ALL	15	1276991	4	19	0.010319	0.005159			
All Reads	ALL	16	1912298	27	23	0.046512	0.008951			
All Reads	ALL	17	2873264	33	24	0.037835	0.006586			
All Reads	ALL	18	4310883	51	22	0.038973	0.005457			
All Reads	ALL	19	6364320	91	27	0.047103	0.004938			
All Reads	ALL	20	9194506	201	23	0.072015	0.00508			
All Reads	ALL	21	12934834	249	24	0.063416	0.004019			
All Reads	ALL	22	17664262	458	26	0.085414	0.003991			
All Reads	ALL	23	23450931	624	24	0.087656	0.003509			
All Reads	ALL	24	30272954	1030	26	0.112083	0.003492			
All Reads	ALL	25	37967796	1466	26	0.127197	0.003322			
All Reads	ALL	26	46244861	2421	27	0.17246	0.003505			
All Reads	ALL	27	54888845	2916	26	0.175009	0.003241			
All Reads	ALL	28	63607757	3518	25	0.182198	0.003072			
All Reads	ALL	29	72092623	4485	26	0.204941	0.00306			
All Reads	ALL	30	80150381	6201	26	0.254867	0.003237			
