## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/AgilentQXT-Twist-0720ME25_S23_L001/gc_bias_metrics.pdf SUMMARY_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/AgilentQXT-Twist-0720ME25_S23_L001/summary_metrics.txt INPUT=/scratch/Shares/layer/projects/chco/bake_off_temp_files/bams_filtered_to_acmg_59/AgilentQXT-Twist-0720ME25_S23_L001.bqsr.bam OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/AgilentQXT-Twist-0720ME25_S23_L001/gc_bias_metrics.txt REFERENCE_SEQUENCE=/scratch/Shares/layer/ref/hg37/human_g1k_v37.fasta.gz    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 18 12:44:16 MDT 2020

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	132619	0	0	0	0			
All Reads	ALL	1	95016	0	0	0	0			
All Reads	ALL	2	109250	0	0	0	0			
All Reads	ALL	3	139082	0	0	0	0			
All Reads	ALL	4	149438	0	0	0	0			
All Reads	ALL	5	152532	0	0	0	0			
All Reads	ALL	6	173446	0	0	0	0			
All Reads	ALL	7	187203	0	0	0	0			
All Reads	ALL	8	213554	0	0	0	0			
All Reads	ALL	9	241757	0	0	0	0			
All Reads	ALL	10	285954	0	0	0	0			
All Reads	ALL	11	351175	3	0	0.091359	0.052746			
All Reads	ALL	12	460264	0	0	0	0			
All Reads	ALL	13	609431	0	0	0	0			
All Reads	ALL	14	866131	2	0	0.024694	0.017462			
All Reads	ALL	15	1276991	3	18	0.025124	0.014505			
All Reads	ALL	16	1912298	9	25	0.050332	0.016777			
All Reads	ALL	17	2873264	16	22	0.059552	0.014888			
All Reads	ALL	18	4310883	18	20	0.044654	0.010525			
All Reads	ALL	19	6364320	43	29	0.072255	0.011019			
All Reads	ALL	20	9194506	73	25	0.084908	0.009938			
All Reads	ALL	21	12934834	110	25	0.090946	0.008671			
All Reads	ALL	22	17664262	159	27	0.096262	0.007634			
All Reads	ALL	23	23450931	260	25	0.118568	0.007353			
All Reads	ALL	24	30272954	368	25	0.130001	0.006777			
All Reads	ALL	25	37967796	575	27	0.161959	0.006754			
All Reads	ALL	26	46244861	840	26	0.194254	0.006702			
All Reads	ALL	27	54888845	1065	26	0.2075	0.006358			
All Reads	ALL	28	63607757	1332	25	0.223948	0.006136			
All Reads	ALL	29	72092623	1705	25	0.252922	0.006125			
All Reads	ALL	30	80150381	2288	25	0.305284	0.006382			
All Reads	ALL	31	87582575	2741	27	0.334692	0.006393			
