## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/AgilentQXT-Twist-110465_S25_L001/gc_bias_metrics.pdf SUMMARY_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/AgilentQXT-Twist-110465_S25_L001/summary_metrics.txt INPUT=/scratch/Shares/layer/projects/chco/bake_off_temp_files/bams_filtered_to_acmg_59/AgilentQXT-Twist-110465_S25_L001.bqsr.bam OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/AgilentQXT-Twist-110465_S25_L001/gc_bias_metrics.txt REFERENCE_SEQUENCE=/scratch/Shares/layer/ref/hg37/human_g1k_v37.fasta.gz    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 18 12:52:37 MDT 2020

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	132619	0	0	0	0			
All Reads	ALL	1	95016	0	0	0	0			
All Reads	ALL	2	109250	0	0	0	0			
All Reads	ALL	3	139082	0	0	0	0			
All Reads	ALL	4	149438	0	0	0	0			
All Reads	ALL	5	152532	0	0	0	0			
All Reads	ALL	6	173446	0	0	0	0			
All Reads	ALL	7	187203	0	0	0	0			
All Reads	ALL	8	213554	0	0	0	0			
All Reads	ALL	9	241757	0	0	0	0			
All Reads	ALL	10	285954	0	0	0	0			
All Reads	ALL	11	351175	0	0	0	0			
All Reads	ALL	12	460264	5	27	0.080439	0.035973			
All Reads	ALL	13	609431	8	29	0.097201	0.034366			
All Reads	ALL	14	866131	2	0	0.017098	0.01209			
All Reads	ALL	15	1276991	2	17	0.011597	0.0082			
All Reads	ALL	16	1912298	8	26	0.030977	0.010952			
All Reads	ALL	17	2873264	21	20	0.054119	0.01181			
All Reads	ALL	18	4310883	21	24	0.036071	0.007871			
All Reads	ALL	19	6364320	45	23	0.052356	0.007805			
All Reads	ALL	20	9194506	106	27	0.085365	0.008291			
All Reads	ALL	21	12934834	174	24	0.099607	0.007551			
All Reads	ALL	22	17664262	247	23	0.103539	0.006588			
All Reads	ALL	23	23450931	297	24	0.093778	0.005442			
All Reads	ALL	24	30272954	534	24	0.130614	0.005652			
All Reads	ALL	25	37967796	866	25	0.168891	0.005739			
All Reads	ALL	26	46244861	1261	24	0.201909	0.005686			
All Reads	ALL	27	54888845	1444	25	0.194799	0.005126			
All Reads	ALL	28	63607757	1799	25	0.209423	0.004938			
All Reads	ALL	29	72092623	2535	25	0.26037	0.005171			
All Reads	ALL	30	80150381	3345	24	0.309025	0.005343			
All Reads	ALL	31	87582575	3969	25	0.335557	0.005326			
