## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/AgilentQXT-Twist-GIAB_S18_L001/gc_bias_metrics.pdf SUMMARY_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/AgilentQXT-Twist-GIAB_S18_L001/summary_metrics.txt INPUT=/scratch/Shares/layer/projects/chco/bake_off_temp_files/bams_filtered_to_acmg_59/AgilentQXT-Twist-GIAB_S18_L001.bqsr.bam OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/AgilentQXT-Twist-GIAB_S18_L001/gc_bias_metrics.txt REFERENCE_SEQUENCE=/scratch/Shares/layer/ref/hg37/human_g1k_v37.fasta.gz    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 18 13:08:42 MDT 2020

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	132619	0	0	0	0			
All Reads	ALL	1	95016	0	0	0	0			
All Reads	ALL	2	109250	0	0	0	0			
All Reads	ALL	3	139082	0	0	0	0			
All Reads	ALL	4	149438	0	0	0	0			
All Reads	ALL	5	152532	0	0	0	0			
All Reads	ALL	6	173446	0	0	0	0			
All Reads	ALL	7	187203	0	0	0	0			
All Reads	ALL	8	213554	0	0	0	0			
All Reads	ALL	9	241757	0	0	0	0			
All Reads	ALL	10	285954	0	0	0	0			
All Reads	ALL	11	351175	0	0	0	0			
All Reads	ALL	12	460264	2	0	0.0357	0.025244			
All Reads	ALL	13	609431	0	0	0	0			
All Reads	ALL	14	866131	4	0	0.037942	0.018971			
All Reads	ALL	15	1276991	3	25	0.019301	0.011143			
All Reads	ALL	16	1912298	7	22	0.030074	0.011367			
All Reads	ALL	17	2873264	15	26	0.042891	0.011074			
All Reads	ALL	18	4310883	28	21	0.053363	0.010085			
All Reads	ALL	19	6364320	49	26	0.063254	0.009036			
All Reads	ALL	20	9194506	107	28	0.09561	0.009243			
All Reads	ALL	21	12934834	113	24	0.071773	0.006752			
All Reads	ALL	22	17664262	185	25	0.086044	0.006326			
All Reads	ALL	23	23450931	334	26	0.117013	0.006403			
All Reads	ALL	24	30272954	529	25	0.143565	0.006242			
All Reads	ALL	25	37967796	786	27	0.17008	0.006067			
All Reads	ALL	26	46244861	1115	27	0.198088	0.005932			
All Reads	ALL	27	54888845	1281	26	0.191739	0.005357			
All Reads	ALL	28	63607757	1675	26	0.216347	0.005286			
All Reads	ALL	29	72092623	2159	26	0.246041	0.005295			
All Reads	ALL	30	80150381	3061	26	0.313765	0.005671			
All Reads	ALL	31	87582575	3632	26	0.340702	0.005653			
