## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/KAPACovaris-Roche-0720ME25_S62_L002/gc_bias_metrics.pdf SUMMARY_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/KAPACovaris-Roche-0720ME25_S62_L002/summary_metrics.txt INPUT=/scratch/Shares/layer/projects/chco/bake_off_temp_files/bams_filtered_to_acmg_59/KAPACovaris-Roche-0720ME25_S62_L002.bqsr.bam OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/KAPACovaris-Roche-0720ME25_S62_L002/gc_bias_metrics.txt REFERENCE_SEQUENCE=/scratch/Shares/layer/ref/hg37/human_g1k_v37.fasta.gz    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 18 13:16:24 MDT 2020

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	132619	0	0	0	0			
All Reads	ALL	1	95016	0	0	0	0			
All Reads	ALL	2	109250	0	0	0	0			
All Reads	ALL	3	139082	0	0	0	0			
All Reads	ALL	4	149438	0	0	0	0			
All Reads	ALL	5	152532	0	0	0	0			
All Reads	ALL	6	173446	0	0	0	0			
All Reads	ALL	7	187203	0	0	0	0			
All Reads	ALL	8	213554	0	0	0	0			
All Reads	ALL	9	241757	0	0	0	0			
All Reads	ALL	10	285954	1	0	0.018952	0.018952			
All Reads	ALL	11	351175	8	20	0.123458	0.043649			
All Reads	ALL	12	460264	14	27	0.164845	0.044057			
All Reads	ALL	13	609431	2	23	0.017785	0.012576			
All Reads	ALL	14	866131	11	30	0.068828	0.020752			
All Reads	ALL	15	1276991	8	24	0.033951	0.012004			
All Reads	ALL	16	1912298	31	19	0.087854	0.015779			
All Reads	ALL	17	2873264	59	20	0.111283	0.014488			
All Reads	ALL	18	4310883	80	19	0.100572	0.011244			
All Reads	ALL	19	6364320	117	22	0.099629	0.009211			
All Reads	ALL	20	9194506	204	25	0.120242	0.008419			
All Reads	ALL	21	12934834	269	23	0.112705	0.006872			
All Reads	ALL	22	17664262	324	23	0.099404	0.005522			
All Reads	ALL	23	23450931	555	24	0.128259	0.005444			
All Reads	ALL	24	30272954	842	23	0.150734	0.005195			
All Reads	ALL	25	37967796	1294	24	0.184702	0.005135			
All Reads	ALL	26	46244861	1922	25	0.225239	0.005138			
All Reads	ALL	27	54888845	2292	24	0.2263	0.004727			
All Reads	ALL	28	63607757	2795	24	0.238136	0.004504			
All Reads	ALL	29	72092623	3458	24	0.259949	0.004421			
All Reads	ALL	30	80150381	4611	24	0.311776	0.004591			
All Reads	ALL	31	87582575	5680	24	0.351467	0.004663			
