## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/KAPACovaris-Roche-110465_S63_L002/gc_bias_metrics.pdf SUMMARY_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/KAPACovaris-Roche-110465_S63_L002/summary_metrics.txt INPUT=/scratch/Shares/layer/projects/chco/bake_off_temp_files/bams_filtered_to_acmg_59/KAPACovaris-Roche-110465_S63_L002.bqsr.bam OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/KAPACovaris-Roche-110465_S63_L002/gc_bias_metrics.txt REFERENCE_SEQUENCE=/scratch/Shares/layer/ref/hg37/human_g1k_v37.fasta.gz    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 18 13:24:00 MDT 2020

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	132619	0	0	0	0			
All Reads	ALL	1	95016	0	0	0	0			
All Reads	ALL	2	109250	0	0	0	0			
All Reads	ALL	3	139082	0	0	0	0			
All Reads	ALL	4	149438	0	0	0	0			
All Reads	ALL	5	152532	0	0	0	0			
All Reads	ALL	6	173446	0	0	0	0			
All Reads	ALL	7	187203	0	0	0	0			
All Reads	ALL	8	213554	0	0	0	0			
All Reads	ALL	9	241757	0	0	0	0			
All Reads	ALL	10	285954	0	0	0	0			
All Reads	ALL	11	351175	8	24	0.096195	0.03401			
All Reads	ALL	12	460264	16	26	0.146791	0.036698			
All Reads	ALL	13	609431	2	0	0.013858	0.009799			
All Reads	ALL	14	866131	9	30	0.043878	0.014626			
All Reads	ALL	15	1276991	8	17	0.026454	0.009353			
All Reads	ALL	16	1912298	56	22	0.123657	0.016524			
All Reads	ALL	17	2873264	82	23	0.12051	0.013308			
All Reads	ALL	18	4310883	72	21	0.070526	0.008312			
All Reads	ALL	19	6364320	222	23	0.147294	0.009886			
All Reads	ALL	20	9194506	315	22	0.144666	0.008151			
All Reads	ALL	21	12934834	369	22	0.120462	0.006271			
All Reads	ALL	22	17664262	469	22	0.112115	0.005177			
All Reads	ALL	23	23450931	889	23	0.160076	0.005369			
All Reads	ALL	24	30272954	1346	23	0.187748	0.005117			
All Reads	ALL	25	37967796	1731	24	0.192516	0.004627			
All Reads	ALL	26	46244861	2616	24	0.238869	0.00467			
All Reads	ALL	27	54888845	3110	24	0.239255	0.00429			
All Reads	ALL	28	63607757	3953	24	0.262423	0.004174			
All Reads	ALL	29	72092623	4705	24	0.275584	0.004018			
All Reads	ALL	30	80150381	6628	24	0.34919	0.004289			
