## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/KAPACovaris-Roche-GIAB_S64_L002/gc_bias_metrics.pdf SUMMARY_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/KAPACovaris-Roche-GIAB_S64_L002/summary_metrics.txt INPUT=/scratch/Shares/layer/projects/chco/bake_off_temp_files/bams_filtered_to_acmg_59/KAPACovaris-Roche-GIAB_S64_L002.bqsr.bam OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/KAPACovaris-Roche-GIAB_S64_L002/gc_bias_metrics.txt REFERENCE_SEQUENCE=/scratch/Shares/layer/ref/hg37/human_g1k_v37.fasta.gz    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 18 13:39:21 MDT 2020

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	132619	0	0	0	0			
All Reads	ALL	1	95016	0	0	0	0			
All Reads	ALL	2	109250	0	0	0	0			
All Reads	ALL	3	139082	0	0	0	0			
All Reads	ALL	4	149438	0	0	0	0			
All Reads	ALL	5	152532	0	0	0	0			
All Reads	ALL	6	173446	0	0	0	0			
All Reads	ALL	7	187203	0	0	0	0			
All Reads	ALL	8	213554	0	0	0	0			
All Reads	ALL	9	241757	0	0	0	0			
All Reads	ALL	10	285954	2	0	0.033233	0.023499			
All Reads	ALL	11	351175	4	0	0.054122	0.027061			
All Reads	ALL	12	460264	4	21	0.041295	0.020647			
All Reads	ALL	13	609431	0	0	0	0			
All Reads	ALL	14	866131	10	24	0.05486	0.017348			
All Reads	ALL	15	1276991	15	22	0.055814	0.014411			
All Reads	ALL	16	1912298	27	26	0.067088	0.012911			
All Reads	ALL	17	2873264	48	26	0.079379	0.011457			
All Reads	ALL	18	4310883	74	22	0.081565	0.009482			
All Reads	ALL	19	6364320	128	24	0.095565	0.008447			
All Reads	ALL	20	9194506	224	24	0.11576	0.007735			
All Reads	ALL	21	12934834	266	28	0.097715	0.005991			
All Reads	ALL	22	17664262	359	25	0.096569	0.005097			
All Reads	ALL	23	23450931	577	24	0.116911	0.004867			
All Reads	ALL	24	30272954	910	26	0.142832	0.004735			
All Reads	ALL	25	37967796	1308	26	0.163694	0.004526			
All Reads	ALL	26	46244861	2001	26	0.2056	0.004596			
All Reads	ALL	27	54888845	2293	26	0.1985	0.004145			
All Reads	ALL	28	63607757	2767	27	0.206699	0.003929			
All Reads	ALL	29	72092623	3334	26	0.219743	0.003806			
All Reads	ALL	30	80150381	4573	26	0.271104	0.004009			
All Reads	ALL	31	87582575	5696	27	0.309024	0.004095			
