## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/KAPAEnzyme-IDT-0720ME25_S11_L001/gc_bias_metrics.pdf SUMMARY_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/KAPAEnzyme-IDT-0720ME25_S11_L001/summary_metrics.txt INPUT=/scratch/Shares/layer/projects/chco/bake_off_temp_files/bams_filtered_to_acmg_59/KAPAEnzyme-IDT-0720ME25_S11_L001.bqsr.bam OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/KAPAEnzyme-IDT-0720ME25_S11_L001/gc_bias_metrics.txt REFERENCE_SEQUENCE=/scratch/Shares/layer/ref/hg37/human_g1k_v37.fasta.gz    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 18 13:47:06 MDT 2020

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	132619	0	0	0	0			
All Reads	ALL	1	95016	0	0	0	0			
All Reads	ALL	2	109250	0	0	0	0			
All Reads	ALL	3	139082	0	0	0	0			
All Reads	ALL	4	149438	0	0	0	0			
All Reads	ALL	5	152532	0	0	0	0			
All Reads	ALL	6	173446	0	0	0	0			
All Reads	ALL	7	187203	0	0	0	0			
All Reads	ALL	8	213554	0	0	0	0			
All Reads	ALL	9	241757	0	0	0	0			
All Reads	ALL	10	285954	1	17	0.034984	0.034984			
All Reads	ALL	11	351175	6	0	0.170921	0.069778			
All Reads	ALL	12	460264	1	0	0.021735	0.021735			
All Reads	ALL	13	609431	1	0	0.016415	0.016415			
All Reads	ALL	14	866131	1	0	0.01155	0.01155			
All Reads	ALL	15	1276991	1	0	0.007834	0.007834			
All Reads	ALL	16	1912298	9	22	0.047082	0.015694			
All Reads	ALL	17	2873264	16	27	0.055707	0.013927			
All Reads	ALL	18	4310883	20	32	0.046412	0.010378			
All Reads	ALL	19	6364320	41	25	0.064446	0.010065			
All Reads	ALL	20	9194506	66	23	0.07181	0.008839			
All Reads	ALL	21	12934834	96	22	0.074247	0.007578			
All Reads	ALL	22	17664262	97	25	0.054934	0.005578			
All Reads	ALL	23	23450931	251	23	0.107073	0.006758			
All Reads	ALL	24	30272954	324	23	0.107067	0.005948			
All Reads	ALL	25	37967796	527	25	0.138855	0.006049			
All Reads	ALL	26	46244861	872	23	0.188634	0.006388			
All Reads	ALL	27	54888845	922	24	0.168041	0.005534			
All Reads	ALL	28	63607757	1250	24	0.196593	0.00556			
All Reads	ALL	29	72092623	1625	24	0.225491	0.005594			
All Reads	ALL	30	80150381	2205	25	0.275214	0.005861			
All Reads	ALL	31	87582575	2692	26	0.307485	0.005926			
