## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/KAPAEnzyme-IDT-1501199_S7_L001/gc_bias_metrics.pdf SUMMARY_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/KAPAEnzyme-IDT-1501199_S7_L001/summary_metrics.txt INPUT=/scratch/Shares/layer/projects/chco/bake_off_temp_files/bams_filtered_to_acmg_59/KAPAEnzyme-IDT-1501199_S7_L001.bqsr.bam OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/KAPAEnzyme-IDT-1501199_S7_L001/gc_bias_metrics.txt REFERENCE_SEQUENCE=/scratch/Shares/layer/ref/hg37/human_g1k_v37.fasta.gz    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 18 14:02:31 MDT 2020

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	132619	0	0	0	0			
All Reads	ALL	1	95016	0	0	0	0			
All Reads	ALL	2	109250	0	0	0	0			
All Reads	ALL	3	139082	0	0	0	0			
All Reads	ALL	4	149438	0	0	0	0			
All Reads	ALL	5	152532	0	0	0	0			
All Reads	ALL	6	173446	0	0	0	0			
All Reads	ALL	7	187203	0	0	0	0			
All Reads	ALL	8	213554	0	0	0	0			
All Reads	ALL	9	241757	0	0	0	0			
All Reads	ALL	10	285954	0	0	0	0			
All Reads	ALL	11	351175	0	0	0	0			
All Reads	ALL	12	460264	0	0	0	0			
All Reads	ALL	13	609431	0	0	0	0			
All Reads	ALL	14	866131	4	15	0.048044	0.024022			
All Reads	ALL	15	1276991	5	24	0.040733	0.018216			
All Reads	ALL	16	1912298	8	17	0.043521	0.015387			
All Reads	ALL	17	2873264	19	20	0.068793	0.015782			
All Reads	ALL	18	4310883	17	18	0.041025	0.00995			
All Reads	ALL	19	6364320	83	24	0.135673	0.014892			
All Reads	ALL	20	9194506	83	25	0.093911	0.010308			
All Reads	ALL	21	12934834	123	22	0.098926	0.00892			
All Reads	ALL	22	17664262	141	24	0.08304	0.006993			
All Reads	ALL	23	23450931	201	24	0.089167	0.006289			
All Reads	ALL	24	30272954	348	25	0.119589	0.006411			
All Reads	ALL	25	37967796	520	23	0.14248	0.006248			
All Reads	ALL	26	46244861	828	23	0.186266	0.006473			
All Reads	ALL	27	54888845	1001	24	0.189721	0.005997			
All Reads	ALL	28	63607757	1230	24	0.201169	0.005736			
All Reads	ALL	29	72092623	1601	23	0.231029	0.005774			
All Reads	ALL	30	80150381	2267	25	0.294247	0.00618			
All Reads	ALL	31	87582575	2718	25	0.322848	0.006193			
