## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/KAPAEnzyme-IDT-GIAB_S47_L002/gc_bias_metrics.pdf SUMMARY_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/KAPAEnzyme-IDT-GIAB_S47_L002/summary_metrics.txt INPUT=/scratch/Shares/layer/projects/chco/bake_off_temp_files/bams_filtered_to_acmg_59/KAPAEnzyme-IDT-GIAB_S47_L002.bqsr.bam OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/KAPAEnzyme-IDT-GIAB_S47_L002/gc_bias_metrics.txt REFERENCE_SEQUENCE=/scratch/Shares/layer/ref/hg37/human_g1k_v37.fasta.gz    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 18 14:10:07 MDT 2020

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	132619	0	0	0	0			
All Reads	ALL	1	95016	0	0	0	0			
All Reads	ALL	2	109250	0	0	0	0			
All Reads	ALL	3	139082	0	0	0	0			
All Reads	ALL	4	149438	0	0	0	0			
All Reads	ALL	5	152532	0	0	0	0			
All Reads	ALL	6	173446	0	0	0	0			
All Reads	ALL	7	187203	0	0	0	0			
All Reads	ALL	8	213554	0	0	0	0			
All Reads	ALL	9	241757	0	0	0	0			
All Reads	ALL	10	285954	0	0	0	0			
All Reads	ALL	11	351175	1	0	0.024259	0.024259			
All Reads	ALL	12	460264	4	26	0.074036	0.037018			
All Reads	ALL	13	609431	3	0	0.041936	0.024212			
All Reads	ALL	14	866131	1	20	0.009836	0.009836			
All Reads	ALL	15	1276991	4	19	0.026685	0.013342			
All Reads	ALL	16	1912298	8	0	0.035639	0.0126			
All Reads	ALL	17	2873264	32	22	0.094878	0.016772			
All Reads	ALL	18	4310883	18	22	0.035571	0.008384			
All Reads	ALL	19	6364320	56	25	0.07496	0.010017			
All Reads	ALL	20	9194506	68	22	0.063005	0.00764			
All Reads	ALL	21	12934834	133	26	0.087596	0.007596			
All Reads	ALL	22	17664262	147	29	0.070895	0.005847			
All Reads	ALL	23	23450931	234	25	0.085006	0.005557			
All Reads	ALL	24	30272954	345	23	0.097086	0.005227			
All Reads	ALL	25	37967796	567	24	0.127221	0.005343			
All Reads	ALL	26	46244861	869	23	0.160084	0.00543			
All Reads	ALL	27	54888845	1039	24	0.161259	0.005003			
All Reads	ALL	28	63607757	1398	25	0.187236	0.005008			
All Reads	ALL	29	72092623	1733	24	0.204786	0.004919			
All Reads	ALL	30	80150381	2522	24	0.26806	0.005338			
All Reads	ALL	31	87582575	2913	25	0.283345	0.00525			
