## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/KAPAEnzyme-Roche-0720ME25_S66_L002/gc_bias_metrics.pdf SUMMARY_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/KAPAEnzyme-Roche-0720ME25_S66_L002/summary_metrics.txt INPUT=/scratch/Shares/layer/projects/chco/bake_off_temp_files/bams_filtered_to_acmg_59/KAPAEnzyme-Roche-0720ME25_S66_L002.bqsr.bam OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/KAPAEnzyme-Roche-0720ME25_S66_L002/gc_bias_metrics.txt REFERENCE_SEQUENCE=/scratch/Shares/layer/ref/hg37/human_g1k_v37.fasta.gz    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 18 14:17:44 MDT 2020

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	132619	0	0	0	0			
All Reads	ALL	1	95016	0	0	0	0			
All Reads	ALL	2	109250	0	0	0	0			
All Reads	ALL	3	139082	0	0	0	0			
All Reads	ALL	4	149438	0	0	0	0			
All Reads	ALL	5	152532	0	0	0	0			
All Reads	ALL	6	173446	0	0	0	0			
All Reads	ALL	7	187203	0	0	0	0			
All Reads	ALL	8	213554	0	0	0	0			
All Reads	ALL	9	241757	0	0	0	0			
All Reads	ALL	10	285954	2	20	0.032254	0.022807			
All Reads	ALL	11	351175	1	0	0.013132	0.013132			
All Reads	ALL	12	460264	5	0	0.050096	0.022404			
All Reads	ALL	13	609431	2	0	0.015134	0.010701			
All Reads	ALL	14	866131	8	0	0.042594	0.015059			
All Reads	ALL	15	1276991	14	21	0.050557	0.013512			
All Reads	ALL	16	1912298	35	22	0.084403	0.014267			
All Reads	ALL	17	2873264	73	22	0.117163	0.013713			
All Reads	ALL	18	4310883	89	22	0.095207	0.010092			
All Reads	ALL	19	6364320	161	22	0.116659	0.009194			
All Reads	ALL	20	9194506	208	24	0.104323	0.007233			
All Reads	ALL	21	12934834	310	23	0.110521	0.006277			
All Reads	ALL	22	17664262	424	24	0.110691	0.005376			
All Reads	ALL	23	23450931	707	24	0.139028	0.005229			
All Reads	ALL	24	30272954	944	26	0.1438	0.00468			
All Reads	ALL	25	37967796	1341	25	0.162876	0.004448			
All Reads	ALL	26	46244861	2033	26	0.20273	0.004496			
All Reads	ALL	27	54888845	2516	26	0.211383	0.004214			
All Reads	ALL	28	63607757	3200	25	0.231997	0.004101			
All Reads	ALL	29	72092623	3817	26	0.24416	0.003952			
All Reads	ALL	30	80150381	5165	26	0.297172	0.004135			
All Reads	ALL	31	87582575	6101	26	0.321238	0.004113			
