## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/KAPAEnzyme-Roche-110465_S67_L002/gc_bias_metrics.pdf SUMMARY_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/KAPAEnzyme-Roche-110465_S67_L002/summary_metrics.txt INPUT=/scratch/Shares/layer/projects/chco/bake_off_temp_files/bams_filtered_to_acmg_59/KAPAEnzyme-Roche-110465_S67_L002.bqsr.bam OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/KAPAEnzyme-Roche-110465_S67_L002/gc_bias_metrics.txt REFERENCE_SEQUENCE=/scratch/Shares/layer/ref/hg37/human_g1k_v37.fasta.gz    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 18 14:25:28 MDT 2020

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	132619	0	0	0	0			
All Reads	ALL	1	95016	0	0	0	0			
All Reads	ALL	2	109250	0	0	0	0			
All Reads	ALL	3	139082	0	0	0	0			
All Reads	ALL	4	149438	0	0	0	0			
All Reads	ALL	5	152532	0	0	0	0			
All Reads	ALL	6	173446	0	0	0	0			
All Reads	ALL	7	187203	0	0	0	0			
All Reads	ALL	8	213554	0	0	0	0			
All Reads	ALL	9	241757	0	0	0	0			
All Reads	ALL	10	285954	0	0	0	0			
All Reads	ALL	11	351175	7	28	0.086852	0.032827			
All Reads	ALL	12	460264	6	0	0.0568	0.023188			
All Reads	ALL	13	609431	0	0	0	0			
All Reads	ALL	14	866131	10	30	0.050306	0.015908			
All Reads	ALL	15	1276991	16	20	0.054593	0.013648			
All Reads	ALL	16	1912298	27	22	0.061519	0.011839			
All Reads	ALL	17	2873264	84	22	0.127382	0.013899			
All Reads	ALL	18	4310883	101	21	0.102084	0.010158			
All Reads	ALL	19	6364320	204	23	0.139663	0.009778			
All Reads	ALL	20	9194506	284	24	0.134584	0.007986			
All Reads	ALL	21	12934834	378	21	0.127331	0.006549			
All Reads	ALL	22	17664262	421	24	0.103846	0.005061			
All Reads	ALL	23	23450931	769	24	0.14288	0.005152			
All Reads	ALL	24	30272954	1152	23	0.165807	0.004885			
All Reads	ALL	25	37967796	1606	25	0.184304	0.004599			
All Reads	ALL	26	46244861	2489	24	0.234512	0.004701			
All Reads	ALL	27	54888845	2881	25	0.228698	0.004261			
All Reads	ALL	28	63607757	3480	25	0.238382	0.004041			
All Reads	ALL	29	72092623	4200	24	0.253841	0.003917			
All Reads	ALL	30	80150381	5684	25	0.308996	0.004099			
All Reads	ALL	31	87582575	6744	25	0.335509	0.004085			
