## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/KAPAEnzyme-Roche-GIAB_S68_L002/gc_bias_metrics.pdf SUMMARY_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/KAPAEnzyme-Roche-GIAB_S68_L002/summary_metrics.txt INPUT=/scratch/Shares/layer/projects/chco/bake_off_temp_files/bams_filtered_to_acmg_59/KAPAEnzyme-Roche-GIAB_S68_L002.bqsr.bam OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/KAPAEnzyme-Roche-GIAB_S68_L002/gc_bias_metrics.txt REFERENCE_SEQUENCE=/scratch/Shares/layer/ref/hg37/human_g1k_v37.fasta.gz    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 18 14:41:09 MDT 2020

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	132619	0	0	0	0			
All Reads	ALL	1	95016	0	0	0	0			
All Reads	ALL	2	109250	0	0	0	0			
All Reads	ALL	3	139082	0	0	0	0			
All Reads	ALL	4	149438	0	0	0	0			
All Reads	ALL	5	152532	0	0	0	0			
All Reads	ALL	6	173446	0	0	0	0			
All Reads	ALL	7	187203	0	0	0	0			
All Reads	ALL	8	213554	0	0	0	0			
All Reads	ALL	9	241757	0	0	0	0			
All Reads	ALL	10	285954	2	0	0.030414	0.021506			
All Reads	ALL	11	351175	0	0	0	0			
All Reads	ALL	12	460264	10	0	0.094477	0.029876			
All Reads	ALL	13	609431	10	30	0.071352	0.022564			
All Reads	ALL	14	866131	4	26	0.020082	0.010041			
All Reads	ALL	15	1276991	17	21	0.057889	0.01404			
All Reads	ALL	16	1912298	40	22	0.090957	0.014382			
All Reads	ALL	17	2873264	91	22	0.137721	0.014437			
All Reads	ALL	18	4310883	98	20	0.098854	0.009986			
All Reads	ALL	19	6364320	166	22	0.11342	0.008803			
All Reads	ALL	20	9194506	279	23	0.13195	0.0079			
All Reads	ALL	21	12934834	319	23	0.107241	0.006004			
All Reads	ALL	22	17664262	516	24	0.127024	0.005592			
All Reads	ALL	23	23450931	773	24	0.143335	0.005155			
All Reads	ALL	24	30272954	1181	25	0.16964	0.004936			
All Reads	ALL	25	37967796	1502	25	0.172023	0.004439			
All Reads	ALL	26	46244861	2485	25	0.233666	0.004687			
All Reads	ALL	27	54888845	2834	25	0.224517	0.004217			
All Reads	ALL	28	63607757	3543	25	0.242211	0.004069			
All Reads	ALL	29	72092623	4093	25	0.246879	0.003859			
All Reads	ALL	30	80150381	6014	24	0.32628	0.004207			
All Reads	ALL	31	87582575	7323	25	0.363584	0.004249			
