## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/KAPAEnzyme-Twist-0720ME25_S19_L001/gc_bias_metrics.pdf SUMMARY_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/KAPAEnzyme-Twist-0720ME25_S19_L001/summary_metrics.txt INPUT=/scratch/Shares/layer/projects/chco/bake_off_temp_files/bams_filtered_to_acmg_59/KAPAEnzyme-Twist-0720ME25_S19_L001.bqsr.bam OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/KAPAEnzyme-Twist-0720ME25_S19_L001/gc_bias_metrics.txt REFERENCE_SEQUENCE=/scratch/Shares/layer/ref/hg37/human_g1k_v37.fasta.gz    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 18 14:49:01 MDT 2020

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	132619	0	0	0	0			
All Reads	ALL	1	95016	0	0	0	0			
All Reads	ALL	2	109250	0	0	0	0			
All Reads	ALL	3	139082	0	0	0	0			
All Reads	ALL	4	149438	0	0	0	0			
All Reads	ALL	5	152532	0	0	0	0			
All Reads	ALL	6	173446	0	0	0	0			
All Reads	ALL	7	187203	0	0	0	0			
All Reads	ALL	8	213554	0	0	0	0			
All Reads	ALL	9	241757	0	0	0	0			
All Reads	ALL	10	285954	0	0	0	0			
All Reads	ALL	11	351175	3	22	0.052501	0.030312			
All Reads	ALL	12	460264	8	19	0.106821	0.037767			
All Reads	ALL	13	609431	0	0	0	0			
All Reads	ALL	14	866131	10	27	0.070956	0.022438			
All Reads	ALL	15	1276991	21	24	0.101066	0.022054			
All Reads	ALL	16	1912298	31	20	0.099627	0.017894			
All Reads	ALL	17	2873264	68	20	0.145447	0.017638			
All Reads	ALL	18	4310883	64	20	0.09124	0.011405			
All Reads	ALL	19	6364320	132	22	0.127466	0.011094			
All Reads	ALL	20	9194506	145	23	0.09692	0.008049			
All Reads	ALL	21	12934834	238	24	0.113081	0.00733			
All Reads	ALL	22	17664262	281	23	0.097765	0.005832			
All Reads	ALL	23	23450931	446	24	0.116882	0.005535			
All Reads	ALL	24	30272954	787	25	0.159769	0.005695			
All Reads	ALL	25	37967796	959	25	0.15523	0.005013			
All Reads	ALL	26	46244861	1594	24	0.211835	0.005306			
All Reads	ALL	27	54888845	1751	24	0.196054	0.004685			
All Reads	ALL	28	63607757	2149	24	0.207634	0.004479			
All Reads	ALL	29	72092623	2889	24	0.24628	0.004582			
All Reads	ALL	30	80150381	4039	24	0.3097	0.004873			
All Reads	ALL	31	87582575	4860	25	0.341029	0.004892			
