## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/KAPAEnzyme-Twist-110465_S20_L001/gc_bias_metrics.pdf SUMMARY_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/KAPAEnzyme-Twist-110465_S20_L001/summary_metrics.txt INPUT=/scratch/Shares/layer/projects/chco/bake_off_temp_files/bams_filtered_to_acmg_59/KAPAEnzyme-Twist-110465_S20_L001.bqsr.bam OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/KAPAEnzyme-Twist-110465_S20_L001/gc_bias_metrics.txt REFERENCE_SEQUENCE=/scratch/Shares/layer/ref/hg37/human_g1k_v37.fasta.gz    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 18 14:56:58 MDT 2020

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	132619	0	0	0	0			
All Reads	ALL	1	95016	0	0	0	0			
All Reads	ALL	2	109250	0	0	0	0			
All Reads	ALL	3	139082	0	0	0	0			
All Reads	ALL	4	149438	0	0	0	0			
All Reads	ALL	5	152532	0	0	0	0			
All Reads	ALL	6	173446	0	0	0	0			
All Reads	ALL	7	187203	0	0	0	0			
All Reads	ALL	8	213554	0	0	0	0			
All Reads	ALL	9	241757	0	0	0	0			
All Reads	ALL	10	285954	0	0	0	0			
All Reads	ALL	11	351175	3	17	0.091566	0.052866			
All Reads	ALL	12	460264	0	0	0	0			
All Reads	ALL	13	609431	0	0	0	0			
All Reads	ALL	14	866131	4	26	0.049501	0.02475			
All Reads	ALL	15	1276991	13	20	0.109117	0.030264			
All Reads	ALL	16	1912298	22	19	0.123312	0.02629			
All Reads	ALL	17	2873264	28	27	0.104453	0.01974			
All Reads	ALL	18	4310883	39	20	0.09697	0.015528			
All Reads	ALL	19	6364320	65	22	0.109471	0.013578			
All Reads	ALL	20	9194506	98	23	0.114244	0.01154			
All Reads	ALL	21	12934834	142	21	0.11767	0.009875			
All Reads	ALL	22	17664262	145	22	0.087985	0.007307			
All Reads	ALL	23	23450931	260	25	0.118837	0.00737			
All Reads	ALL	24	30272954	406	23	0.14375	0.007134			
All Reads	ALL	25	37967796	557	25	0.157245	0.006663			
All Reads	ALL	26	46244861	853	24	0.197707	0.006769			
All Reads	ALL	27	54888845	1107	24	0.216173	0.006497			
All Reads	ALL	28	63607757	1410	24	0.2376	0.006328			
All Reads	ALL	29	72092623	1744	25	0.259294	0.006209			
All Reads	ALL	30	80150381	2432	24	0.325233	0.006595			
All Reads	ALL	31	87582575	2720	25	0.33288	0.006383			
