## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/KAPAEnzyme-Twist-GIAB_S17_L001/gc_bias_metrics.pdf SUMMARY_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/KAPAEnzyme-Twist-GIAB_S17_L001/summary_metrics.txt INPUT=/scratch/Shares/layer/projects/chco/bake_off_temp_files/bams_filtered_to_acmg_59/KAPAEnzyme-Twist-GIAB_S17_L001.bqsr.bam OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/KAPAEnzyme-Twist-GIAB_S17_L001/gc_bias_metrics.txt REFERENCE_SEQUENCE=/scratch/Shares/layer/ref/hg37/human_g1k_v37.fasta.gz    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 18 15:12:47 MDT 2020

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	132619	0	0	0	0			
All Reads	ALL	1	95016	0	0	0	0			
All Reads	ALL	2	109250	0	0	0	0			
All Reads	ALL	3	139082	0	0	0	0			
All Reads	ALL	4	149438	0	0	0	0			
All Reads	ALL	5	152532	0	0	0	0			
All Reads	ALL	6	173446	0	0	0	0			
All Reads	ALL	7	187203	0	0	0	0			
All Reads	ALL	8	213554	0	0	0	0			
All Reads	ALL	9	241757	0	0	0	0			
All Reads	ALL	10	285954	0	0	0	0			
All Reads	ALL	11	351175	4	0	0.110416	0.055208			
All Reads	ALL	12	460264	3	0	0.063185	0.03648			
All Reads	ALL	13	609431	0	0	0	0			
All Reads	ALL	14	866131	2	0	0.022384	0.015828			
All Reads	ALL	15	1276991	13	22	0.098685	0.02737			
All Reads	ALL	16	1912298	19	17	0.096315	0.022096			
All Reads	ALL	17	2873264	38	23	0.128205	0.020798			
All Reads	ALL	18	4310883	53	19	0.119181	0.016371			
All Reads	ALL	19	6364320	83	23	0.126422	0.013877			
All Reads	ALL	20	9194506	112	21	0.118083	0.011158			
All Reads	ALL	21	12934834	131	26	0.098177	0.008578			
All Reads	ALL	22	17664262	185	21	0.101525	0.007464			
All Reads	ALL	23	23450931	328	24	0.135585	0.007486			
All Reads	ALL	24	30272954	504	24	0.161389	0.007189			
All Reads	ALL	25	37967796	691	24	0.176425	0.006712			
All Reads	ALL	26	46244861	1021	24	0.214023	0.006698			
All Reads	ALL	27	54888845	1210	23	0.213697	0.006143			
All Reads	ALL	28	63607757	1541	24	0.23485	0.005983			
All Reads	ALL	29	72092623	1963	23	0.263953	0.005958			
All Reads	ALL	30	80150381	2755	23	0.333206	0.006348			
All Reads	ALL	31	87582575	3145	24	0.348097	0.006207			
