## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/Nextera-Agilent-0720ME25_S52_L002/gc_bias_metrics.pdf SUMMARY_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/Nextera-Agilent-0720ME25_S52_L002/summary_metrics.txt INPUT=/scratch/Shares/layer/projects/chco/bake_off_temp_files/bams_filtered_to_acmg_59/Nextera-Agilent-0720ME25_S52_L002.bqsr.bam OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/Nextera-Agilent-0720ME25_S52_L002/gc_bias_metrics.txt REFERENCE_SEQUENCE=/scratch/Shares/layer/ref/hg37/human_g1k_v37.fasta.gz    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 18 15:21:39 MDT 2020

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	132619	0	0	0	0			
All Reads	ALL	1	95016	0	0	0	0			
All Reads	ALL	2	109250	0	0	0	0			
All Reads	ALL	3	139082	0	0	0	0			
All Reads	ALL	4	149438	0	0	0	0			
All Reads	ALL	5	152532	0	0	0	0			
All Reads	ALL	6	173446	0	0	0	0			
All Reads	ALL	7	187203	0	0	0	0			
All Reads	ALL	8	213554	0	0	0	0			
All Reads	ALL	9	241757	0	0	0	0			
All Reads	ALL	10	285954	1	0	0.017113	0.017113			
All Reads	ALL	11	351175	0	0	0	0			
All Reads	ALL	12	460264	26	31	0.276437	0.054214			
All Reads	ALL	13	609431	3	0	0.024089	0.013908			
All Reads	ALL	14	866131	5	0	0.02825	0.012634			
All Reads	ALL	15	1276991	94	23	0.360222	0.037154			
All Reads	ALL	16	1912298	30	25	0.076771	0.014016			
All Reads	ALL	17	2873264	30	27	0.051095	0.009329			
All Reads	ALL	18	4310883	22	26	0.024974	0.005324			
All Reads	ALL	19	6364320	95	24	0.073047	0.007494			
All Reads	ALL	20	9194506	162	21	0.086222	0.006774			
All Reads	ALL	21	12934834	206	23	0.077936	0.00543			
All Reads	ALL	22	17664262	276	25	0.076462	0.004602			
All Reads	ALL	23	23450931	344	21	0.071784	0.00387			
All Reads	ALL	24	30272954	569	23	0.091979	0.003856			
All Reads	ALL	25	37967796	826	25	0.106462	0.003704			
All Reads	ALL	26	46244861	1235	25	0.130687	0.003719			
All Reads	ALL	27	54888845	1383	25	0.123301	0.003316			
All Reads	ALL	28	63607757	2076	23	0.159716	0.003505			
All Reads	ALL	29	72092623	2623	24	0.178048	0.003476			
All Reads	ALL	30	80150381	3168	24	0.193424	0.003437			
All Reads	ALL	31	87582575	3974	25	0.222045	0.003522			
