## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/Nextera-Agilent-1501199_S51_L002/gc_bias_metrics.pdf SUMMARY_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/Nextera-Agilent-1501199_S51_L002/summary_metrics.txt INPUT=/scratch/Shares/layer/projects/chco/bake_off_temp_files/bams_filtered_to_acmg_59/Nextera-Agilent-1501199_S51_L002.bqsr.bam OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/Nextera-Agilent-1501199_S51_L002/gc_bias_metrics.txt REFERENCE_SEQUENCE=/scratch/Shares/layer/ref/hg37/human_g1k_v37.fasta.gz    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 18 15:38:44 MDT 2020

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	132619	0	0	0	0			
All Reads	ALL	1	95016	0	0	0	0			
All Reads	ALL	2	109250	0	0	0	0			
All Reads	ALL	3	139082	0	0	0	0			
All Reads	ALL	4	149438	0	0	0	0			
All Reads	ALL	5	152532	0	0	0	0			
All Reads	ALL	6	173446	0	0	0	0			
All Reads	ALL	7	187203	0	0	0	0			
All Reads	ALL	8	213554	0	0	0	0			
All Reads	ALL	9	241757	0	0	0	0			
All Reads	ALL	10	285954	0	0	0	0			
All Reads	ALL	11	351175	1	0	0.016363	0.016363			
All Reads	ALL	12	460264	7	19	0.087391	0.033031			
All Reads	ALL	13	609431	0	0	0	0			
All Reads	ALL	14	866131	9	16	0.059709	0.019903			
All Reads	ALL	15	1276991	49	22	0.220488	0.031498			
All Reads	ALL	16	1912298	14	22	0.042068	0.011243			
All Reads	ALL	17	2873264	38	22	0.075995	0.012328			
All Reads	ALL	18	4310883	14	21	0.018661	0.004987			
All Reads	ALL	19	6364320	49	25	0.044241	0.00632			
All Reads	ALL	20	9194506	96	21	0.059996	0.006123			
All Reads	ALL	21	12934834	162	25	0.071967	0.005654			
All Reads	ALL	22	17664262	165	24	0.053674	0.004179			
All Reads	ALL	23	23450931	193	24	0.047291	0.003404			
All Reads	ALL	24	30272954	358	23	0.067953	0.003591			
All Reads	ALL	25	37967796	497	24	0.075217	0.003374			
All Reads	ALL	26	46244861	840	26	0.104374	0.003601			
All Reads	ALL	27	54888845	926	25	0.09694	0.003186			
All Reads	ALL	28	63607757	1455	24	0.131441	0.003446			
All Reads	ALL	29	72092623	1917	24	0.152795	0.00349			
All Reads	ALL	30	80150381	2436	24	0.174642	0.003538			
All Reads	ALL	31	87582575	3040	25	0.19945	0.003617			
