## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/Nextera-Agilent-GIAB_S28_L001/gc_bias_metrics.pdf SUMMARY_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/Nextera-Agilent-GIAB_S28_L001/summary_metrics.txt INPUT=/scratch/Shares/layer/projects/chco/bake_off_temp_files/bams_filtered_to_acmg_59/Nextera-Agilent-GIAB_S28_L001.bqsr.bam OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/Nextera-Agilent-GIAB_S28_L001/gc_bias_metrics.txt REFERENCE_SEQUENCE=/scratch/Shares/layer/ref/hg37/human_g1k_v37.fasta.gz    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 18 15:46:53 MDT 2020

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	132619	0	0	0	0			
All Reads	ALL	1	95016	0	0	0	0			
All Reads	ALL	2	109250	0	0	0	0			
All Reads	ALL	3	139082	0	0	0	0			
All Reads	ALL	4	149438	0	0	0	0			
All Reads	ALL	5	152532	0	0	0	0			
All Reads	ALL	6	173446	0	0	0	0			
All Reads	ALL	7	187203	0	0	0	0			
All Reads	ALL	8	213554	0	0	0	0			
All Reads	ALL	9	241757	0	0	0	0			
All Reads	ALL	10	285954	6	0	0.116838	0.047699			
All Reads	ALL	11	351175	1	20	0.015856	0.015856			
All Reads	ALL	12	460264	25	29	0.302455	0.060491			
All Reads	ALL	13	609431	8	29	0.073096	0.025843			
All Reads	ALL	14	866131	2	0	0.012858	0.009092			
All Reads	ALL	15	1276991	58	24	0.252911	0.033209			
All Reads	ALL	16	1912298	11	26	0.032031	0.009658			
All Reads	ALL	17	2873264	36	22	0.069768	0.011628			
All Reads	ALL	18	4310883	19	25	0.024542	0.00563			
All Reads	ALL	19	6364320	88	21	0.076994	0.008208			
All Reads	ALL	20	9194506	103	21	0.062379	0.006146			
All Reads	ALL	21	12934834	174	23	0.074906	0.005679			
All Reads	ALL	22	17664262	198	25	0.062416	0.004436			
All Reads	ALL	23	23450931	271	21	0.064348	0.003909			
All Reads	ALL	24	30272954	447	22	0.082221	0.003889			
All Reads	ALL	25	37967796	609	24	0.089316	0.003619			
All Reads	ALL	26	46244861	945	25	0.113788	0.003702			
All Reads	ALL	27	54888845	1145	25	0.116158	0.003433			
All Reads	ALL	28	63607757	1571	24	0.137529	0.00347			
All Reads	ALL	29	72092623	2084	23	0.160966	0.003526			
All Reads	ALL	30	80150381	2750	22	0.191054	0.003643			
