## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/Nextera-IDT-0720ME25_S14_L001/gc_bias_metrics.pdf SUMMARY_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/Nextera-IDT-0720ME25_S14_L001/summary_metrics.txt INPUT=/scratch/Shares/layer/projects/chco/bake_off_temp_files/bams_filtered_to_acmg_59/Nextera-IDT-0720ME25_S14_L001.bqsr.bam OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/Nextera-IDT-0720ME25_S14_L001/gc_bias_metrics.txt REFERENCE_SEQUENCE=/scratch/Shares/layer/ref/hg37/human_g1k_v37.fasta.gz    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 18 18:01:52 MDT 2020

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	132619	0	0	0	0			
All Reads	ALL	1	95016	0	0	0	0			
All Reads	ALL	2	109250	0	0	0	0			
All Reads	ALL	3	139082	0	0	0	0			
All Reads	ALL	4	149438	0	0	0	0			
All Reads	ALL	5	152532	0	0	0	0			
All Reads	ALL	6	173446	0	0	0	0			
All Reads	ALL	7	187203	0	0	0	0			
All Reads	ALL	8	213554	0	0	0	0			
All Reads	ALL	9	241757	0	0	0	0			
All Reads	ALL	10	285954	0	0	0	0			
All Reads	ALL	11	351175	0	0	0	0			
All Reads	ALL	12	460264	4	0	0.108711	0.054356			
All Reads	ALL	13	609431	1	20	0.020526	0.020526			
All Reads	ALL	14	866131	0	0	0	0			
All Reads	ALL	15	1276991	2	0	0.019591	0.013853			
All Reads	ALL	16	1912298	2	15	0.013083	0.009251			
All Reads	ALL	17	2873264	12	23	0.052243	0.015081			
All Reads	ALL	18	4310883	17	24	0.049329	0.011964			
All Reads	ALL	19	6364320	35	28	0.068792	0.011628			
All Reads	ALL	20	9194506	47	20	0.063943	0.009327			
All Reads	ALL	21	12934834	86	25	0.083169	0.008968			
All Reads	ALL	22	17664262	73	23	0.051695	0.00605			
All Reads	ALL	23	23450931	152	24	0.081078	0.006576			
All Reads	ALL	24	30272954	247	23	0.102062	0.006494			
All Reads	ALL	25	37967796	325	26	0.107075	0.005939			
All Reads	ALL	26	46244861	544	24	0.147149	0.006309			
All Reads	ALL	27	54888845	701	27	0.159755	0.006034			
All Reads	ALL	28	63607757	888	25	0.174632	0.00586			
All Reads	ALL	29	72092623	1161	24	0.201448	0.005912			
All Reads	ALL	30	80150381	1517	25	0.236756	0.006079			
All Reads	ALL	31	87582575	1970	26	0.281365	0.006339			
