## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/Nextera-IDT-1501199_S10_L001/gc_bias_metrics.pdf SUMMARY_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/Nextera-IDT-1501199_S10_L001/summary_metrics.txt INPUT=/scratch/Shares/layer/projects/chco/bake_off_temp_files/bams_filtered_to_acmg_59/Nextera-IDT-1501199_S10_L001.bqsr.bam OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/Nextera-IDT-1501199_S10_L001/gc_bias_metrics.txt REFERENCE_SEQUENCE=/scratch/Shares/layer/ref/hg37/human_g1k_v37.fasta.gz    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 18 18:17:47 MDT 2020

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	132619	0	0	0	0			
All Reads	ALL	1	95016	0	0	0	0			
All Reads	ALL	2	109250	0	0	0	0			
All Reads	ALL	3	139082	0	0	0	0			
All Reads	ALL	4	149438	0	0	0	0			
All Reads	ALL	5	152532	0	0	0	0			
All Reads	ALL	6	173446	0	0	0	0			
All Reads	ALL	7	187203	0	0	0	0			
All Reads	ALL	8	213554	0	0	0	0			
All Reads	ALL	9	241757	0	0	0	0			
All Reads	ALL	10	285954	0	0	0	0			
All Reads	ALL	11	351175	0	0	0	0			
All Reads	ALL	12	460264	4	21	0.117373	0.058687			
All Reads	ALL	13	609431	1	13	0.022161	0.022161			
All Reads	ALL	14	866131	1	17	0.015593	0.015593			
All Reads	ALL	15	1276991	4	26	0.042305	0.021152			
All Reads	ALL	16	1912298	0	0	0	0			
All Reads	ALL	17	2873264	9	24	0.042304	0.014101			
All Reads	ALL	18	4310883	6	21	0.018798	0.007674			
All Reads	ALL	19	6364320	41	23	0.087006	0.013588			
All Reads	ALL	20	9194506	31	23	0.045535	0.008178			
All Reads	ALL	21	12934834	79	25	0.082486	0.00928			
All Reads	ALL	22	17664262	86	22	0.065753	0.00709			
All Reads	ALL	23	23450931	165	27	0.095025	0.007398			
All Reads	ALL	24	30272954	221	23	0.098595	0.006632			
All Reads	ALL	25	37967796	343	24	0.12201	0.006588			
All Reads	ALL	26	46244861	490	23	0.143103	0.006465			
All Reads	ALL	27	54888845	581	24	0.142958	0.005931			
All Reads	ALL	28	63607757	783	24	0.166252	0.005941			
All Reads	ALL	29	72092623	1016	24	0.190335	0.005971			
All Reads	ALL	30	80150381	1347	24	0.226975	0.006184			
All Reads	ALL	31	87582575	1779	25	0.27433	0.006504			
