## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/Nextera-IDT-GIAB_S50_L002/gc_bias_metrics.pdf SUMMARY_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/Nextera-IDT-GIAB_S50_L002/summary_metrics.txt INPUT=/scratch/Shares/layer/projects/chco/bake_off_temp_files/bams_filtered_to_acmg_59/Nextera-IDT-GIAB_S50_L002.bqsr.bam OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/Nextera-IDT-GIAB_S50_L002/gc_bias_metrics.txt REFERENCE_SEQUENCE=/scratch/Shares/layer/ref/hg37/human_g1k_v37.fasta.gz    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 18 18:25:45 MDT 2020

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	132619	0	0	0	0			
All Reads	ALL	1	95016	0	0	0	0			
All Reads	ALL	2	109250	0	0	0	0			
All Reads	ALL	3	139082	0	0	0	0			
All Reads	ALL	4	149438	0	0	0	0			
All Reads	ALL	5	152532	0	0	0	0			
All Reads	ALL	6	173446	0	0	0	0			
All Reads	ALL	7	187203	0	0	0	0			
All Reads	ALL	8	213554	0	0	0	0			
All Reads	ALL	9	241757	0	0	0	0			
All Reads	ALL	10	285954	0	0	0	0			
All Reads	ALL	11	351175	0	0	0	0			
All Reads	ALL	12	460264	2	18	0.073696	0.052111			
All Reads	ALL	13	609431	0	0	0	0			
All Reads	ALL	14	866131	4	0	0.078325	0.039162			
All Reads	ALL	15	1276991	2	13	0.026562	0.018782			
All Reads	ALL	16	1912298	0	0	0	0			
All Reads	ALL	17	2873264	8	26	0.047221	0.016695			
All Reads	ALL	18	4310883	7	22	0.027539	0.010409			
All Reads	ALL	19	6364320	19	22	0.050632	0.011616			
All Reads	ALL	20	9194506	25	21	0.046114	0.009223			
All Reads	ALL	21	12934834	44	23	0.057692	0.008697			
All Reads	ALL	22	17664262	74	27	0.071049	0.008259			
All Reads	ALL	23	23450931	93	25	0.067258	0.006974			
All Reads	ALL	24	30272954	154	24	0.086275	0.006952			
All Reads	ALL	25	37967796	283	25	0.126413	0.007514			
All Reads	ALL	26	46244861	427	23	0.156598	0.007578			
All Reads	ALL	27	54888845	498	26	0.153875	0.006895			
All Reads	ALL	28	63607757	630	25	0.167978	0.006692			
All Reads	ALL	29	72092623	827	24	0.194552	0.006765			
All Reads	ALL	30	80150381	1199	23	0.253709	0.007327			
All Reads	ALL	31	87582575	1325	25	0.256578	0.007049			
