## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/Nextera-Roche-0720ME25_S6_L001/gc_bias_metrics.pdf SUMMARY_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/Nextera-Roche-0720ME25_S6_L001/summary_metrics.txt INPUT=/scratch/Shares/layer/projects/chco/bake_off_temp_files/bams_filtered_to_acmg_59/Nextera-Roche-0720ME25_S6_L001.bqsr.bam OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/Nextera-Roche-0720ME25_S6_L001/gc_bias_metrics.txt REFERENCE_SEQUENCE=/scratch/Shares/layer/ref/hg37/human_g1k_v37.fasta.gz    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 18 18:33:43 MDT 2020

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	132619	0	0	0	0			
All Reads	ALL	1	95016	0	0	0	0			
All Reads	ALL	2	109250	0	0	0	0			
All Reads	ALL	3	139082	0	0	0	0			
All Reads	ALL	4	149438	0	0	0	0			
All Reads	ALL	5	152532	0	0	0	0			
All Reads	ALL	6	173446	0	0	0	0			
All Reads	ALL	7	187203	0	0	0	0			
All Reads	ALL	8	213554	0	0	0	0			
All Reads	ALL	9	241757	0	0	0	0			
All Reads	ALL	10	285954	0	0	0	0			
All Reads	ALL	11	351175	2	0	0.073283	0.051819			
All Reads	ALL	12	460264	11	27	0.307526	0.092722			
All Reads	ALL	13	609431	0	0	0	0			
All Reads	ALL	14	866131	0	0	0	0			
All Reads	ALL	15	1276991	2	0	0.020153	0.01425			
All Reads	ALL	16	1912298	8	22	0.053831	0.019032			
All Reads	ALL	17	2873264	21	20	0.094046	0.020522			
All Reads	ALL	18	4310883	10	27	0.029849	0.009439			
All Reads	ALL	19	6364320	45	27	0.090982	0.013563			
All Reads	ALL	20	9194506	65	24	0.090966	0.011283			
All Reads	ALL	21	12934834	95	22	0.094506	0.009696			
All Reads	ALL	22	17664262	140	24	0.101983	0.008619			
All Reads	ALL	23	23450931	265	22	0.145406	0.008932			
All Reads	ALL	24	30272954	347	24	0.147493	0.007918			
All Reads	ALL	25	37967796	473	25	0.160303	0.007371			
All Reads	ALL	26	46244861	811	25	0.225659	0.007924			
All Reads	ALL	27	54888845	856	25	0.200671	0.006859			
All Reads	ALL	28	63607757	1088	25	0.220097	0.006673			
All Reads	ALL	29	72092623	1581	24	0.282187	0.007097			
All Reads	ALL	30	80150381	1835	24	0.294596	0.006877			
All Reads	ALL	31	87582575	2321	25	0.340999	0.007078			
