## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/Nextera-Roche-110465_S39_L002/gc_bias_metrics.pdf SUMMARY_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/Nextera-Roche-110465_S39_L002/summary_metrics.txt INPUT=/scratch/Shares/layer/projects/chco/bake_off_temp_files/bams_filtered_to_acmg_59/Nextera-Roche-110465_S39_L002.bqsr.bam OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/Nextera-Roche-110465_S39_L002/gc_bias_metrics.txt REFERENCE_SEQUENCE=/scratch/Shares/layer/ref/hg37/human_g1k_v37.fasta.gz    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 18 18:41:45 MDT 2020

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	132619	0	0	0	0			
All Reads	ALL	1	95016	0	0	0	0			
All Reads	ALL	2	109250	0	0	0	0			
All Reads	ALL	3	139082	0	0	0	0			
All Reads	ALL	4	149438	0	0	0	0			
All Reads	ALL	5	152532	0	0	0	0			
All Reads	ALL	6	173446	0	0	0	0			
All Reads	ALL	7	187203	0	0	0	0			
All Reads	ALL	8	213554	0	0	0	0			
All Reads	ALL	9	241757	0	0	0	0			
All Reads	ALL	10	285954	0	0	0	0			
All Reads	ALL	11	351175	0	0	0	0			
All Reads	ALL	12	460264	15	29	0.214936	0.055496			
All Reads	ALL	13	609431	0	0	0	0			
All Reads	ALL	14	866131	3	0	0.022843	0.013189			
All Reads	ALL	15	1276991	9	21	0.046481	0.015494			
All Reads	ALL	16	1912298	16	23	0.055181	0.013795			
All Reads	ALL	17	2873264	30	22	0.06886	0.012572			
All Reads	ALL	18	4310883	35	23	0.053546	0.009051			
All Reads	ALL	19	6364320	98	22	0.101554	0.010259			
All Reads	ALL	20	9194506	121	18	0.086792	0.00789			
All Reads	ALL	21	12934834	262	22	0.133587	0.008253			
All Reads	ALL	22	17664262	281	21	0.104914	0.006259			
All Reads	ALL	23	23450931	477	23	0.134148	0.006142			
All Reads	ALL	24	30272954	626	23	0.136378	0.005451			
All Reads	ALL	25	37967796	977	25	0.169708	0.005429			
All Reads	ALL	26	46244861	1380	24	0.196807	0.005298			
All Reads	ALL	27	54888845	1813	25	0.21784	0.005116			
All Reads	ALL	28	63607757	2057	24	0.213279	0.004703			
All Reads	ALL	29	72092623	2931	24	0.268132	0.004953			
All Reads	ALL	30	80150381	3470	24	0.285528	0.004847			
