## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/Nextera-Roche-GIAB_S42_L002/gc_bias_metrics.pdf SUMMARY_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/Nextera-Roche-GIAB_S42_L002/summary_metrics.txt INPUT=/scratch/Shares/layer/projects/chco/bake_off_temp_files/bams_filtered_to_acmg_59/Nextera-Roche-GIAB_S42_L002.bqsr.bam OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/Nextera-Roche-GIAB_S42_L002/gc_bias_metrics.txt REFERENCE_SEQUENCE=/scratch/Shares/layer/ref/hg37/human_g1k_v37.fasta.gz    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 18 18:57:40 MDT 2020

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	132619	0	0	0	0			
All Reads	ALL	1	95016	0	0	0	0			
All Reads	ALL	2	109250	0	0	0	0			
All Reads	ALL	3	139082	0	0	0	0			
All Reads	ALL	4	149438	0	0	0	0			
All Reads	ALL	5	152532	0	0	0	0			
All Reads	ALL	6	173446	0	0	0	0			
All Reads	ALL	7	187203	0	0	0	0			
All Reads	ALL	8	213554	0	0	0	0			
All Reads	ALL	9	241757	0	0	0	0			
All Reads	ALL	10	285954	1	0	0.02642	0.02642			
All Reads	ALL	11	351175	1	0	0.021513	0.021513			
All Reads	ALL	12	460264	15	27	0.246215	0.063572			
All Reads	ALL	13	609431	2	0	0.024793	0.017532			
All Reads	ALL	14	866131	3	22	0.026168	0.015108			
All Reads	ALL	15	1276991	6	21	0.035497	0.014492			
All Reads	ALL	16	1912298	10	20	0.039507	0.012493			
All Reads	ALL	17	2873264	23	25	0.060476	0.01261			
All Reads	ALL	18	4310883	28	25	0.049071	0.009273			
All Reads	ALL	19	6364320	64	21	0.075973	0.009497			
All Reads	ALL	20	9194506	111	22	0.091206	0.008657			
All Reads	ALL	21	12934834	187	23	0.109222	0.007987			
All Reads	ALL	22	17664262	284	25	0.121466	0.007208			
All Reads	ALL	23	23450931	398	24	0.128219	0.006427			
All Reads	ALL	24	30272954	593	23	0.147989	0.006077			
All Reads	ALL	25	37967796	788	26	0.156798	0.005586			
All Reads	ALL	26	46244861	1280	24	0.209111	0.005845			
All Reads	ALL	27	54888845	1494	25	0.205635	0.00532			
All Reads	ALL	28	63607757	1811	25	0.215099	0.005055			
All Reads	ALL	29	72092623	2616	25	0.274143	0.00536			
All Reads	ALL	30	80150381	2991	24	0.28193	0.005155			
