## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/Nextera-Twist-0720ME25_S24_L001/gc_bias_metrics.pdf SUMMARY_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/Nextera-Twist-0720ME25_S24_L001/summary_metrics.txt INPUT=/scratch/Shares/layer/projects/chco/bake_off_temp_files/bams_filtered_to_acmg_59/Nextera-Twist-0720ME25_S24_L001.bqsr.bam OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/Nextera-Twist-0720ME25_S24_L001/gc_bias_metrics.txt REFERENCE_SEQUENCE=/scratch/Shares/layer/ref/hg37/human_g1k_v37.fasta.gz    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 18 19:05:40 MDT 2020

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	132619	0	0	0	0			
All Reads	ALL	1	95016	0	0	0	0			
All Reads	ALL	2	109250	0	0	0	0			
All Reads	ALL	3	139082	0	0	0	0			
All Reads	ALL	4	149438	0	0	0	0			
All Reads	ALL	5	152532	0	0	0	0			
All Reads	ALL	6	173446	0	0	0	0			
All Reads	ALL	7	187203	0	0	0	0			
All Reads	ALL	8	213554	0	0	0	0			
All Reads	ALL	9	241757	0	0	0	0			
All Reads	ALL	10	285954	1	0	0.031329	0.031329			
All Reads	ALL	11	351175	0	0	0	0			
All Reads	ALL	12	460264	3	0	0.058393	0.033713			
All Reads	ALL	13	609431	0	0	0	0			
All Reads	ALL	14	866131	0	0	0	0			
All Reads	ALL	15	1276991	9	23	0.063139	0.021046			
All Reads	ALL	16	1912298	5	0	0.023424	0.010475			
All Reads	ALL	17	2873264	26	34	0.081067	0.015898			
All Reads	ALL	18	4310883	20	23	0.041563	0.009294			
All Reads	ALL	19	6364320	68	23	0.09572	0.011608			
All Reads	ALL	20	9194506	89	25	0.086717	0.009192			
All Reads	ALL	21	12934834	137	24	0.094886	0.008107			
All Reads	ALL	22	17664262	201	25	0.10194	0.00719			
All Reads	ALL	23	23450931	340	24	0.129886	0.007044			
All Reads	ALL	24	30272954	482	24	0.142638	0.006497			
All Reads	ALL	25	37967796	577	26	0.136146	0.005668			
All Reads	ALL	26	46244861	915	26	0.177256	0.00586			
All Reads	ALL	27	54888845	1118	26	0.182474	0.005457			
All Reads	ALL	28	63607757	1445	25	0.203518	0.005354			
All Reads	ALL	29	72092623	1844	25	0.229147	0.005336			
All Reads	ALL	30	80150381	2282	25	0.255067	0.005339			
All Reads	ALL	31	87582575	3174	25	0.324663	0.005763			
