## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/Nextera-Twist-1501199_S21_L001/gc_bias_metrics.pdf SUMMARY_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/Nextera-Twist-1501199_S21_L001/summary_metrics.txt INPUT=/scratch/Shares/layer/projects/chco/bake_off_temp_files/bams_filtered_to_acmg_59/Nextera-Twist-1501199_S21_L001.bqsr.bam OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/Nextera-Twist-1501199_S21_L001/gc_bias_metrics.txt REFERENCE_SEQUENCE=/scratch/Shares/layer/ref/hg37/human_g1k_v37.fasta.gz    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 18 19:21:29 MDT 2020

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	132619	0	0	0	0			
All Reads	ALL	1	95016	0	0	0	0			
All Reads	ALL	2	109250	0	0	0	0			
All Reads	ALL	3	139082	0	0	0	0			
All Reads	ALL	4	149438	0	0	0	0			
All Reads	ALL	5	152532	0	0	0	0			
All Reads	ALL	6	173446	0	0	0	0			
All Reads	ALL	7	187203	0	0	0	0			
All Reads	ALL	8	213554	0	0	0	0			
All Reads	ALL	9	241757	0	0	0	0			
All Reads	ALL	10	285954	0	0	0	0			
All Reads	ALL	11	351175	0	0	0	0			
All Reads	ALL	12	460264	7	28	0.238825	0.090267			
All Reads	ALL	13	609431	0	0	0	0			
All Reads	ALL	14	866131	2	17	0.036261	0.02564			
All Reads	ALL	15	1276991	5	22	0.061485	0.027497			
All Reads	ALL	16	1912298	9	19	0.073905	0.024635			
All Reads	ALL	17	2873264	7	28	0.038257	0.01446			
All Reads	ALL	18	4310883	13	26	0.047355	0.013134			
All Reads	ALL	19	6364320	49	25	0.120902	0.017272			
All Reads	ALL	20	9194506	52	25	0.08881	0.012316			
All Reads	ALL	21	12934834	83	26	0.100764	0.01106			
All Reads	ALL	22	17664262	99	26	0.088009	0.008845			
All Reads	ALL	23	23450931	202	25	0.135263	0.009517			
All Reads	ALL	24	30272954	272	25	0.141092	0.008555			
All Reads	ALL	25	37967796	351	25	0.145171	0.007749			
All Reads	ALL	26	46244861	554	25	0.18812	0.007992			
All Reads	ALL	27	54888845	633	26	0.181096	0.007198			
All Reads	ALL	28	63607757	853	24	0.210585	0.00721			
All Reads	ALL	29	72092623	1069	25	0.23285	0.007122			
All Reads	ALL	30	80150381	1442	24	0.282519	0.00744			
All Reads	ALL	31	87582575	1859	25	0.333311	0.007731			
