## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/Nextera-Twist-GIAB_S22_L001/gc_bias_metrics.pdf SUMMARY_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/Nextera-Twist-GIAB_S22_L001/summary_metrics.txt INPUT=/scratch/Shares/layer/projects/chco/bake_off_temp_files/bams_filtered_to_acmg_59/Nextera-Twist-GIAB_S22_L001.bqsr.bam OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/Nextera-Twist-GIAB_S22_L001/gc_bias_metrics.txt REFERENCE_SEQUENCE=/scratch/Shares/layer/ref/hg37/human_g1k_v37.fasta.gz    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 18 19:29:19 MDT 2020

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	132619	0	0	0	0			
All Reads	ALL	1	95016	0	0	0	0			
All Reads	ALL	2	109250	0	0	0	0			
All Reads	ALL	3	139082	0	0	0	0			
All Reads	ALL	4	149438	0	0	0	0			
All Reads	ALL	5	152532	0	0	0	0			
All Reads	ALL	6	173446	0	0	0	0			
All Reads	ALL	7	187203	0	0	0	0			
All Reads	ALL	8	213554	0	0	0	0			
All Reads	ALL	9	241757	0	0	0	0			
All Reads	ALL	10	285954	0	0	0	0			
All Reads	ALL	11	351175	0	0	0	0			
All Reads	ALL	12	460264	4	26	0.066773	0.033387			
All Reads	ALL	13	609431	0	0	0	0			
All Reads	ALL	14	866131	1	0	0.008871	0.008871			
All Reads	ALL	15	1276991	12	0	0.072201	0.020843			
All Reads	ALL	16	1912298	10	21	0.040178	0.012706			
All Reads	ALL	17	2873264	19	24	0.050807	0.011656			
All Reads	ALL	18	4310883	16	22	0.028517	0.007129			
All Reads	ALL	19	6364320	66	22	0.079678	0.009808			
All Reads	ALL	20	9194506	105	24	0.087742	0.008563			
All Reads	ALL	21	12934834	165	24	0.09801	0.00763			
All Reads	ALL	22	17664262	209	26	0.090907	0.006288			
All Reads	ALL	23	23450931	347	25	0.113689	0.006103			
All Reads	ALL	24	30272954	554	25	0.140606	0.005974			
All Reads	ALL	25	37967796	692	26	0.140036	0.005323			
All Reads	ALL	26	46244861	1050	25	0.174451	0.005384			
All Reads	ALL	27	54888845	1228	26	0.171895	0.004905			
All Reads	ALL	28	63607757	1592	26	0.192301	0.00482			
All Reads	ALL	29	72092623	2173	25	0.231589	0.004968			
All Reads	ALL	30	80150381	2895	25	0.277518	0.005158			
All Reads	ALL	31	87582575	3486	25	0.305815	0.00518			
