## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/NexteraCap-Agilent-0720ME25_S30_L001/gc_bias_metrics.pdf SUMMARY_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/NexteraCap-Agilent-0720ME25_S30_L001/summary_metrics.txt INPUT=/scratch/Shares/layer/projects/chco/bake_off_temp_files/bams_filtered_to_acmg_59/NexteraCap-Agilent-0720ME25_S30_L001.bqsr.bam OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/NexteraCap-Agilent-0720ME25_S30_L001/gc_bias_metrics.txt REFERENCE_SEQUENCE=/scratch/Shares/layer/ref/hg37/human_g1k_v37.fasta.gz    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 18 15:54:50 MDT 2020

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	132619	0	0	0	0			
All Reads	ALL	1	95016	0	0	0	0			
All Reads	ALL	2	109250	0	0	0	0			
All Reads	ALL	3	139082	0	0	0	0			
All Reads	ALL	4	149438	0	0	0	0			
All Reads	ALL	5	152532	0	0	0	0			
All Reads	ALL	6	173446	0	0	0	0			
All Reads	ALL	7	187203	0	0	0	0			
All Reads	ALL	8	213554	0	0	0	0			
All Reads	ALL	9	241757	0	0	0	0			
All Reads	ALL	10	285954	0	0	0	0			
All Reads	ALL	11	351175	0	0	0	0			
All Reads	ALL	12	460264	0	0	0	0			
All Reads	ALL	13	609431	0	0	0	0			
All Reads	ALL	14	866131	2	0	0.027249	0.019268			
All Reads	ALL	15	1276991	9	21	0.083168	0.027723			
All Reads	ALL	16	1912298	1	0	0.006171	0.006171			
All Reads	ALL	17	2873264	16	22	0.065712	0.016428			
All Reads	ALL	18	4310883	17	21	0.046535	0.011286			
All Reads	ALL	19	6364320	36	33	0.06675	0.011125			
All Reads	ALL	20	9194506	47	22	0.060321	0.008799			
All Reads	ALL	21	12934834	78	23	0.07116	0.008057			
All Reads	ALL	22	17664262	132	27	0.088182	0.007675			
All Reads	ALL	23	23450931	198	24	0.099633	0.007081			
All Reads	ALL	24	30272954	305	24	0.11889	0.006808			
All Reads	ALL	25	37967796	493	26	0.153225	0.006901			
All Reads	ALL	26	46244861	752	26	0.191891	0.006998			
All Reads	ALL	27	54888845	910	25	0.19564	0.006485			
All Reads	ALL	28	63607757	1256	25	0.233012	0.006575			
All Reads	ALL	29	72092623	1544	25	0.252729	0.006432			
All Reads	ALL	30	80150381	1886	24	0.277674	0.006394			
All Reads	ALL	31	87582575	2372	25	0.319592	0.006562			
All Reads	ALL	32	94099516	2924	26	0.366682	0.006781			
