## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/NexteraCap-Agilent-110465_S31_L001/gc_bias_metrics.pdf SUMMARY_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/NexteraCap-Agilent-110465_S31_L001/summary_metrics.txt INPUT=/scratch/Shares/layer/projects/chco/bake_off_temp_files/bams_filtered_to_acmg_59/NexteraCap-Agilent-110465_S31_L001.bqsr.bam OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/NexteraCap-Agilent-110465_S31_L001/gc_bias_metrics.txt REFERENCE_SEQUENCE=/scratch/Shares/layer/ref/hg37/human_g1k_v37.fasta.gz    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 18 16:02:48 MDT 2020

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	132619	0	0	0	0			
All Reads	ALL	1	95016	0	0	0	0			
All Reads	ALL	2	109250	0	0	0	0			
All Reads	ALL	3	139082	0	0	0	0			
All Reads	ALL	4	149438	0	0	0	0			
All Reads	ALL	5	152532	0	0	0	0			
All Reads	ALL	6	173446	0	0	0	0			
All Reads	ALL	7	187203	0	0	0	0			
All Reads	ALL	8	213554	0	0	0	0			
All Reads	ALL	9	241757	0	0	0	0			
All Reads	ALL	10	285954	0	0	0	0			
All Reads	ALL	11	351175	0	0	0	0			
All Reads	ALL	12	460264	2	0	0.050809	0.035927			
All Reads	ALL	13	609431	4	21	0.076745	0.038372			
All Reads	ALL	14	866131	1	9	0.0135	0.0135			
All Reads	ALL	15	1276991	11	21	0.100721	0.030368			
All Reads	ALL	16	1912298	3	0	0.018343	0.010591			
All Reads	ALL	17	2873264	19	25	0.07732	0.017738			
All Reads	ALL	18	4310883	12	18	0.032548	0.009396			
All Reads	ALL	19	6364320	39	25	0.071652	0.011473			
All Reads	ALL	20	9194506	66	22	0.083932	0.010331			
All Reads	ALL	21	12934834	135	23	0.122036	0.010503			
All Reads	ALL	22	17664262	149	23	0.098629	0.00808			
All Reads	ALL	23	23450931	208	23	0.103709	0.007191			
All Reads	ALL	24	30272954	368	22	0.142137	0.007409			
All Reads	ALL	25	37967796	539	24	0.165992	0.00715			
All Reads	ALL	26	46244861	816	26	0.20632	0.007223			
All Reads	ALL	27	54888845	955	25	0.203439	0.006583			
All Reads	ALL	28	63607757	1278	24	0.234928	0.006572			
All Reads	ALL	29	72092623	1561	25	0.253178	0.006408			
All Reads	ALL	30	80150381	2091	23	0.305044	0.006671			
All Reads	ALL	31	87582575	2444	24	0.326285	0.0066			
