## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/NexteraCap-Agilent-GIAB_S32_L001/gc_bias_metrics.pdf SUMMARY_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/NexteraCap-Agilent-GIAB_S32_L001/summary_metrics.txt INPUT=/scratch/Shares/layer/projects/chco/bake_off_temp_files/bams_filtered_to_acmg_59/NexteraCap-Agilent-GIAB_S32_L001.bqsr.bam OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/NexteraCap-Agilent-GIAB_S32_L001/gc_bias_metrics.txt REFERENCE_SEQUENCE=/scratch/Shares/layer/ref/hg37/human_g1k_v37.fasta.gz    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 18 16:18:52 MDT 2020

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	132619	0	0	0	0			
All Reads	ALL	1	95016	0	0	0	0			
All Reads	ALL	2	109250	0	0	0	0			
All Reads	ALL	3	139082	0	0	0	0			
All Reads	ALL	4	149438	0	0	0	0			
All Reads	ALL	5	152532	0	0	0	0			
All Reads	ALL	6	173446	0	0	0	0			
All Reads	ALL	7	187203	0	0	0	0			
All Reads	ALL	8	213554	0	0	0	0			
All Reads	ALL	9	241757	0	0	0	0			
All Reads	ALL	10	285954	0	0	0	0			
All Reads	ALL	11	351175	1	0	0.038462	0.038462			
All Reads	ALL	12	460264	5	0	0.14673	0.065619			
All Reads	ALL	13	609431	3	0	0.066489	0.038388			
All Reads	ALL	14	866131	0	0	0	0			
All Reads	ALL	15	1276991	3	16	0.031731	0.01832			
All Reads	ALL	16	1912298	6	22	0.042379	0.017301			
All Reads	ALL	17	2873264	22	25	0.103419	0.022049			
All Reads	ALL	18	4310883	16	18	0.050131	0.012533			
All Reads	ALL	19	6364320	33	24	0.070035	0.012192			
All Reads	ALL	20	9194506	48	31	0.070513	0.010178			
All Reads	ALL	21	12934834	93	27	0.097113	0.01007			
All Reads	ALL	22	17664262	138	26	0.105521	0.008983			
All Reads	ALL	23	23450931	196	26	0.112889	0.008063			
All Reads	ALL	24	30272954	323	26	0.144113	0.008019			
All Reads	ALL	25	37967796	448	25	0.159374	0.00753			
All Reads	ALL	26	46244861	718	26	0.209708	0.007826			
All Reads	ALL	27	54888845	826	26	0.203259	0.007072			
All Reads	ALL	28	63607757	1059	26	0.224875	0.00691			
All Reads	ALL	29	72092623	1333	26	0.249743	0.00684			
All Reads	ALL	30	80150381	1692	24	0.285134	0.006932			
All Reads	ALL	31	87582575	2085	25	0.321546	0.007042			
