## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/NexteraCap-IDT-0720ME25_S54_L002/gc_bias_metrics.pdf SUMMARY_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/NexteraCap-IDT-0720ME25_S54_L002/summary_metrics.txt INPUT=/scratch/Shares/layer/projects/chco/bake_off_temp_files/bams_filtered_to_acmg_59/NexteraCap-IDT-0720ME25_S54_L002.bqsr.bam OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/NexteraCap-IDT-0720ME25_S54_L002/gc_bias_metrics.txt REFERENCE_SEQUENCE=/scratch/Shares/layer/ref/hg37/human_g1k_v37.fasta.gz    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 18 16:26:43 MDT 2020

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	132619	0	0	0	0			
All Reads	ALL	1	95016	0	0	0	0			
All Reads	ALL	2	109250	0	0	0	0			
All Reads	ALL	3	139082	0	0	0	0			
All Reads	ALL	4	149438	0	0	0	0			
All Reads	ALL	5	152532	0	0	0	0			
All Reads	ALL	6	173446	0	0	0	0			
All Reads	ALL	7	187203	0	0	0	0			
All Reads	ALL	8	213554	0	0	0	0			
All Reads	ALL	9	241757	0	0	0	0			
All Reads	ALL	10	285954	2	20	0.13156	0.093027			
All Reads	ALL	11	351175	0	0	0	0			
All Reads	ALL	12	460264	1	0	0.040868	0.040868			
All Reads	ALL	13	609431	0	0	0	0			
All Reads	ALL	14	866131	1	0	0.021717	0.021717			
All Reads	ALL	15	1276991	4	0	0.05892	0.02946			
All Reads	ALL	16	1912298	1	0	0.009836	0.009836			
All Reads	ALL	17	2873264	5	27	0.032733	0.014639			
All Reads	ALL	18	4310883	3	0	0.01309	0.007558			
All Reads	ALL	19	6364320	10	27	0.029555	0.009346			
All Reads	ALL	20	9194506	26	27	0.053191	0.010432			
All Reads	ALL	21	12934834	38	22	0.05526	0.008964			
All Reads	ALL	22	17664262	60	25	0.063892	0.008248			
All Reads	ALL	23	23450931	94	22	0.075398	0.007777			
All Reads	ALL	24	30272954	152	25	0.094445	0.007661			
All Reads	ALL	25	37967796	209	26	0.103543	0.007162			
All Reads	ALL	26	46244861	327	25	0.133007	0.007355			
All Reads	ALL	27	54888845	351	27	0.120285	0.00642			
All Reads	ALL	28	63607757	515	24	0.152296	0.006711			
All Reads	ALL	29	72092623	749	25	0.195425	0.007141			
All Reads	ALL	30	80150381	943	25	0.221308	0.007207			
All Reads	ALL	31	87582575	1160	26	0.249133	0.007315			
