## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/NexteraCap-IDT-110465_S55_L002/gc_bias_metrics.pdf SUMMARY_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/NexteraCap-IDT-110465_S55_L002/summary_metrics.txt INPUT=/scratch/Shares/layer/projects/chco/bake_off_temp_files/bams_filtered_to_acmg_59/NexteraCap-IDT-110465_S55_L002.bqsr.bam OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/NexteraCap-IDT-110465_S55_L002/gc_bias_metrics.txt REFERENCE_SEQUENCE=/scratch/Shares/layer/ref/hg37/human_g1k_v37.fasta.gz    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 18 16:34:38 MDT 2020

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	132619	0	0	0	0			
All Reads	ALL	1	95016	0	0	0	0			
All Reads	ALL	2	109250	0	0	0	0			
All Reads	ALL	3	139082	0	0	0	0			
All Reads	ALL	4	149438	0	0	0	0			
All Reads	ALL	5	152532	0	0	0	0			
All Reads	ALL	6	173446	0	0	0	0			
All Reads	ALL	7	187203	0	0	0	0			
All Reads	ALL	8	213554	0	0	0	0			
All Reads	ALL	9	241757	0	0	0	0			
All Reads	ALL	10	285954	0	0	0	0			
All Reads	ALL	11	351175	0	0	0	0			
All Reads	ALL	12	460264	5	0	0.176831	0.079081			
All Reads	ALL	13	609431	0	0	0	0			
All Reads	ALL	14	866131	0	0	0	0			
All Reads	ALL	15	1276991	3	20	0.038241	0.022078			
All Reads	ALL	16	1912298	3	25	0.025536	0.014743			
All Reads	ALL	17	2873264	6	23	0.033991	0.013877			
All Reads	ALL	18	4310883	5	27	0.01888	0.008443			
All Reads	ALL	19	6364320	19	30	0.048595	0.011149			
All Reads	ALL	20	9194506	24	18	0.042489	0.008673			
All Reads	ALL	21	12934834	62	25	0.078023	0.009909			
All Reads	ALL	22	17664262	84	23	0.077407	0.008446			
All Reads	ALL	23	23450931	98	27	0.068024	0.006871			
All Reads	ALL	24	30272954	190	24	0.102163	0.007412			
All Reads	ALL	25	37967796	262	24	0.112326	0.00694			
All Reads	ALL	26	46244861	394	24	0.138684	0.006987			
All Reads	ALL	27	54888845	485	26	0.143831	0.006531			
All Reads	ALL	28	63607757	644	25	0.164805	0.006494			
All Reads	ALL	29	72092623	836	25	0.18876	0.006528			
All Reads	ALL	30	80150381	1124	26	0.228273	0.006809			
All Reads	ALL	31	87582575	1370	26	0.254623	0.006879			
