## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/NexteraCap-IDT-GIAB_S56_L002/gc_bias_metrics.pdf SUMMARY_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/NexteraCap-IDT-GIAB_S56_L002/summary_metrics.txt INPUT=/scratch/Shares/layer/projects/chco/bake_off_temp_files/bams_filtered_to_acmg_59/NexteraCap-IDT-GIAB_S56_L002.bqsr.bam OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/NexteraCap-IDT-GIAB_S56_L002/gc_bias_metrics.txt REFERENCE_SEQUENCE=/scratch/Shares/layer/ref/hg37/human_g1k_v37.fasta.gz    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 18 16:50:30 MDT 2020

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	132619	0	0	0	0			
All Reads	ALL	1	95016	0	0	0	0			
All Reads	ALL	2	109250	0	0	0	0			
All Reads	ALL	3	139082	0	0	0	0			
All Reads	ALL	4	149438	0	0	0	0			
All Reads	ALL	5	152532	0	0	0	0			
All Reads	ALL	6	173446	0	0	0	0			
All Reads	ALL	7	187203	0	0	0	0			
All Reads	ALL	8	213554	0	0	0	0			
All Reads	ALL	9	241757	0	0	0	0			
All Reads	ALL	10	285954	0	0	0	0			
All Reads	ALL	11	351175	1	0	0.052917	0.052917			
All Reads	ALL	12	460264	0	0	0	0			
All Reads	ALL	13	609431	0	0	0	0			
All Reads	ALL	14	866131	0	0	0	0			
All Reads	ALL	15	1276991	1	0	0.014552	0.014552			
All Reads	ALL	16	1912298	1	0	0.009718	0.009718			
All Reads	ALL	17	2873264	6	23	0.038806	0.015842			
All Reads	ALL	18	4310883	5	19	0.021554	0.009639			
All Reads	ALL	19	6364320	16	24	0.046718	0.01168			
All Reads	ALL	20	9194506	37	24	0.074781	0.012294			
All Reads	ALL	21	12934834	56	24	0.080454	0.010751			
All Reads	ALL	22	17664262	64	26	0.067329	0.008416			
All Reads	ALL	23	23450931	97	25	0.076865	0.007804			
All Reads	ALL	24	30272954	163	23	0.100058	0.007837			
All Reads	ALL	25	37967796	201	26	0.098378	0.006939			
All Reads	ALL	26	46244861	348	25	0.139841	0.007496			
All Reads	ALL	27	54888845	356	27	0.120527	0.006388			
All Reads	ALL	28	63607757	535	25	0.156301	0.006757			
All Reads	ALL	29	72092623	693	26	0.178633	0.006786			
All Reads	ALL	30	80150381	845	24	0.195916	0.00674			
All Reads	ALL	31	87582575	1186	26	0.251643	0.007307			
