## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/NexteraCap-Roche-0720ME25_S58_L002/gc_bias_metrics.pdf SUMMARY_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/NexteraCap-Roche-0720ME25_S58_L002/summary_metrics.txt INPUT=/scratch/Shares/layer/projects/chco/bake_off_temp_files/bams_filtered_to_acmg_59/NexteraCap-Roche-0720ME25_S58_L002.bqsr.bam OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/NexteraCap-Roche-0720ME25_S58_L002/gc_bias_metrics.txt REFERENCE_SEQUENCE=/scratch/Shares/layer/ref/hg37/human_g1k_v37.fasta.gz    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 18 16:58:26 MDT 2020

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	132619	0	0	0	0			
All Reads	ALL	1	95016	0	0	0	0			
All Reads	ALL	2	109250	0	0	0	0			
All Reads	ALL	3	139082	0	0	0	0			
All Reads	ALL	4	149438	0	0	0	0			
All Reads	ALL	5	152532	0	0	0	0			
All Reads	ALL	6	173446	0	0	0	0			
All Reads	ALL	7	187203	0	0	0	0			
All Reads	ALL	8	213554	0	0	0	0			
All Reads	ALL	9	241757	0	0	0	0			
All Reads	ALL	10	285954	0	0	0	0			
All Reads	ALL	11	351175	0	0	0	0			
All Reads	ALL	12	460264	12	28	0.868355	0.250673			
All Reads	ALL	13	609431	0	0	0	0			
All Reads	ALL	14	866131	0	0	0	0			
All Reads	ALL	15	1276991	0	0	0	0			
All Reads	ALL	16	1912298	0	0	0	0			
All Reads	ALL	17	2873264	0	0	0	0			
All Reads	ALL	18	4310883	0	0	0	0			
All Reads	ALL	19	6364320	0	0	0	0			
All Reads	ALL	20	9194506	4	14	0.01449	0.007245			
All Reads	ALL	21	12934834	2	23	0.00515	0.003641			
All Reads	ALL	22	17664262	6	20	0.011313	0.004619			
All Reads	ALL	23	23450931	44	21	0.062491	0.009421			
All Reads	ALL	24	30272954	36	24	0.039607	0.006601			
All Reads	ALL	25	37967796	35	32	0.030703	0.00519			
All Reads	ALL	26	46244861	46	27	0.03313	0.004885			
All Reads	ALL	27	54888845	57	29	0.034587	0.004581			
All Reads	ALL	28	63607757	91	26	0.047649	0.004995			
All Reads	ALL	29	72092623	102	26	0.047123	0.004666			
All Reads	ALL	30	80150381	123	26	0.051112	0.004609			
All Reads	ALL	31	87582575	172	26	0.065408	0.004987			
All Reads	ALL	32	94099516	276	27	0.097689	0.00588			
All Reads	ALL	33	99563693	378	27	0.126449	0.006504			
