## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/NexteraCap-Roche-1501199_S57_L002/gc_bias_metrics.pdf SUMMARY_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/NexteraCap-Roche-1501199_S57_L002/summary_metrics.txt INPUT=/scratch/Shares/layer/projects/chco/bake_off_temp_files/bams_filtered_to_acmg_59/NexteraCap-Roche-1501199_S57_L002.bqsr.bam OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/NexteraCap-Roche-1501199_S57_L002/gc_bias_metrics.txt REFERENCE_SEQUENCE=/scratch/Shares/layer/ref/hg37/human_g1k_v37.fasta.gz    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 18 17:14:21 MDT 2020

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	132619	0	0	0	0			
All Reads	ALL	1	95016	0	0	0	0			
All Reads	ALL	2	109250	0	0	0	0			
All Reads	ALL	3	139082	0	0	0	0			
All Reads	ALL	4	149438	0	0	0	0			
All Reads	ALL	5	152532	0	0	0	0			
All Reads	ALL	6	173446	0	0	0	0			
All Reads	ALL	7	187203	0	0	0	0			
All Reads	ALL	8	213554	0	0	0	0			
All Reads	ALL	9	241757	0	0	0	0			
All Reads	ALL	10	285954	0	0	0	0			
All Reads	ALL	11	351175	0	0	0	0			
All Reads	ALL	12	460264	0	0	0	0			
All Reads	ALL	13	609431	0	0	0	0			
All Reads	ALL	14	866131	0	0	0	0			
All Reads	ALL	15	1276991	0	0	0	0			
All Reads	ALL	16	1912298	2	0	0.020917	0.014791			
All Reads	ALL	17	2873264	0	0	0	0			
All Reads	ALL	18	4310883	0	0	0	0			
All Reads	ALL	19	6364320	12	26	0.03771	0.010886			
All Reads	ALL	20	9194506	11	0	0.023927	0.007214			
All Reads	ALL	21	12934834	23	25	0.035563	0.007415			
All Reads	ALL	22	17664262	26	20	0.029438	0.005773			
All Reads	ALL	23	23450931	28	15	0.02388	0.004513			
All Reads	ALL	24	30272954	44	25	0.029069	0.004382			
All Reads	ALL	25	37967796	45	28	0.023704	0.003534			
All Reads	ALL	26	46244861	70	38	0.030274	0.003618			
All Reads	ALL	27	54888845	124	30	0.045182	0.004057			
All Reads	ALL	28	63607757	125	26	0.039303	0.003515			
All Reads	ALL	29	72092623	190	25	0.05271	0.003824			
All Reads	ALL	30	80150381	274	27	0.068371	0.00413			
All Reads	ALL	31	87582575	348	27	0.079468	0.00426			
All Reads	ALL	32	94099516	366	25	0.07779	0.004066			
