## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/NexteraCap-Roche-GIAB_S60_L002/gc_bias_metrics.pdf SUMMARY_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/NexteraCap-Roche-GIAB_S60_L002/summary_metrics.txt INPUT=/scratch/Shares/layer/projects/chco/bake_off_temp_files/bams_filtered_to_acmg_59/NexteraCap-Roche-GIAB_S60_L002.bqsr.bam OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/NexteraCap-Roche-GIAB_S60_L002/gc_bias_metrics.txt REFERENCE_SEQUENCE=/scratch/Shares/layer/ref/hg37/human_g1k_v37.fasta.gz    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 18 17:22:17 MDT 2020

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	132619	0	0	0	0			
All Reads	ALL	1	95016	0	0	0	0			
All Reads	ALL	2	109250	0	0	0	0			
All Reads	ALL	3	139082	0	0	0	0			
All Reads	ALL	4	149438	0	0	0	0			
All Reads	ALL	5	152532	0	0	0	0			
All Reads	ALL	6	173446	0	0	0	0			
All Reads	ALL	7	187203	0	0	0	0			
All Reads	ALL	8	213554	0	0	0	0			
All Reads	ALL	9	241757	0	0	0	0			
All Reads	ALL	10	285954	0	0	0	0			
All Reads	ALL	11	351175	0	0	0	0			
All Reads	ALL	12	460264	0	0	0	0			
All Reads	ALL	13	609431	0	0	0	0			
All Reads	ALL	14	866131	0	0	0	0			
All Reads	ALL	15	1276991	2	20	0.041941	0.029657			
All Reads	ALL	16	1912298	0	0	0	0			
All Reads	ALL	17	2873264	9	0	0.08388	0.02796			
All Reads	ALL	18	4310883	0	0	0	0			
All Reads	ALL	19	6364320	10	22	0.042077	0.013306			
All Reads	ALL	20	9194506	6	28	0.017475	0.007134			
All Reads	ALL	21	12934834	44	27	0.091093	0.013733			
All Reads	ALL	22	17664262	5	0	0.00758	0.00339			
All Reads	ALL	23	23450931	16	22	0.018271	0.004568			
All Reads	ALL	24	30272954	24	23	0.02123	0.004334			
All Reads	ALL	25	37967796	20	28	0.014106	0.003154			
All Reads	ALL	26	46244861	66	30	0.038218	0.004704			
All Reads	ALL	27	54888845	76	28	0.037079	0.004253			
All Reads	ALL	28	63607757	91	24	0.038311	0.004016			
All Reads	ALL	29	72092623	145	26	0.05386	0.004473			
All Reads	ALL	30	80150381	251	26	0.083861	0.005293			
All Reads	ALL	31	87582575	290	24	0.088669	0.005207			
All Reads	ALL	32	94099516	339	25	0.096473	0.00524			
