## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/NexteraCap-Twist-0720ME25_S34_L001/gc_bias_metrics.pdf SUMMARY_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/NexteraCap-Twist-0720ME25_S34_L001/summary_metrics.txt INPUT=/scratch/Shares/layer/projects/chco/bake_off_temp_files/bams_filtered_to_acmg_59/NexteraCap-Twist-0720ME25_S34_L001.bqsr.bam OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/NexteraCap-Twist-0720ME25_S34_L001/gc_bias_metrics.txt REFERENCE_SEQUENCE=/scratch/Shares/layer/ref/hg37/human_g1k_v37.fasta.gz    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 18 17:30:11 MDT 2020

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	132619	0	0	0	0			
All Reads	ALL	1	95016	0	0	0	0			
All Reads	ALL	2	109250	0	0	0	0			
All Reads	ALL	3	139082	0	0	0	0			
All Reads	ALL	4	149438	0	0	0	0			
All Reads	ALL	5	152532	0	0	0	0			
All Reads	ALL	6	173446	0	0	0	0			
All Reads	ALL	7	187203	0	0	0	0			
All Reads	ALL	8	213554	0	0	0	0			
All Reads	ALL	9	241757	0	0	0	0			
All Reads	ALL	10	285954	0	0	0	0			
All Reads	ALL	11	351175	0	0	0	0			
All Reads	ALL	12	460264	12	0	0.313009	0.090358			
All Reads	ALL	13	609431	0	0	0	0			
All Reads	ALL	14	866131	2	0	0.027722	0.019603			
All Reads	ALL	15	1276991	3	0	0.028204	0.016284			
All Reads	ALL	16	1912298	9	0	0.056503	0.018834			
All Reads	ALL	17	2873264	8	0	0.033427	0.011818			
All Reads	ALL	18	4310883	15	21	0.041774	0.010786			
All Reads	ALL	19	6364320	41	23	0.077342	0.012079			
All Reads	ALL	20	9194506	69	26	0.090095	0.010846			
All Reads	ALL	21	12934834	121	23	0.112307	0.01021			
All Reads	ALL	22	17664262	125	24	0.084957	0.007599			
All Reads	ALL	23	23450931	226	25	0.115699	0.007696			
All Reads	ALL	24	30272954	363	24	0.143957	0.007556			
All Reads	ALL	25	37967796	460	26	0.145454	0.006782			
All Reads	ALL	26	46244861	716	25	0.18588	0.006947			
All Reads	ALL	27	54888845	909	27	0.198821	0.006594			
All Reads	ALL	28	63607757	1202	25	0.22687	0.006544			
All Reads	ALL	29	72092623	1499	25	0.249628	0.006448			
All Reads	ALL	30	80150381	1943	25	0.291038	0.006603			
All Reads	ALL	31	87582575	2457	25	0.336798	0.006795			
