## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/NexteraCap-Twist-1501199_S33_L001/gc_bias_metrics.pdf SUMMARY_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/NexteraCap-Twist-1501199_S33_L001/summary_metrics.txt INPUT=/scratch/Shares/layer/projects/chco/bake_off_temp_files/bams_filtered_to_acmg_59/NexteraCap-Twist-1501199_S33_L001.bqsr.bam OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/NexteraCap-Twist-1501199_S33_L001/gc_bias_metrics.txt REFERENCE_SEQUENCE=/scratch/Shares/layer/ref/hg37/human_g1k_v37.fasta.gz    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 18 17:45:59 MDT 2020

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	132619	0	0	0	0			
All Reads	ALL	1	95016	0	0	0	0			
All Reads	ALL	2	109250	0	0	0	0			
All Reads	ALL	3	139082	0	0	0	0			
All Reads	ALL	4	149438	0	0	0	0			
All Reads	ALL	5	152532	0	0	0	0			
All Reads	ALL	6	173446	0	0	0	0			
All Reads	ALL	7	187203	0	0	0	0			
All Reads	ALL	8	213554	0	0	0	0			
All Reads	ALL	9	241757	0	0	0	0			
All Reads	ALL	10	285954	0	0	0	0			
All Reads	ALL	11	351175	0	0	0	0			
All Reads	ALL	12	460264	7	0	0.154671	0.05846			
All Reads	ALL	13	609431	3	13	0.050063	0.028904			
All Reads	ALL	14	866131	0	0	0	0			
All Reads	ALL	15	1276991	1	0	0.007964	0.007964			
All Reads	ALL	16	1912298	5	27	0.026591	0.011892			
All Reads	ALL	17	2873264	26	25	0.092027	0.018048			
All Reads	ALL	18	4310883	13	25	0.030669	0.008506			
All Reads	ALL	19	6364320	30	23	0.047939	0.008752			
All Reads	ALL	20	9194506	64	23	0.07079	0.008849			
All Reads	ALL	21	12934834	131	26	0.102998	0.008999			
All Reads	ALL	22	17664262	126	24	0.072543	0.006463			
All Reads	ALL	23	23450931	244	25	0.105815	0.006774			
All Reads	ALL	24	30272954	400	24	0.134377	0.006719			
All Reads	ALL	25	37967796	519	26	0.139018	0.006102			
All Reads	ALL	26	46244861	811	26	0.178351	0.006263			
All Reads	ALL	27	54888845	1056	25	0.195658	0.006021			
All Reads	ALL	28	63607757	1303	25	0.208331	0.005771			
All Reads	ALL	29	72092623	1720	24	0.242637	0.00585			
All Reads	ALL	30	80150381	2110	24	0.267729	0.005828			
All Reads	ALL	31	87582575	2925	25	0.339646	0.00628			
