## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/NexteraCap-Twist-GIAB_S36_L001/gc_bias_metrics.pdf SUMMARY_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/NexteraCap-Twist-GIAB_S36_L001/summary_metrics.txt INPUT=/scratch/Shares/layer/projects/chco/bake_off_temp_files/bams_filtered_to_acmg_59/NexteraCap-Twist-GIAB_S36_L001.bqsr.bam OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/NexteraCap-Twist-GIAB_S36_L001/gc_bias_metrics.txt REFERENCE_SEQUENCE=/scratch/Shares/layer/ref/hg37/human_g1k_v37.fasta.gz    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 18 17:53:55 MDT 2020

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	132619	0	0	0	0			
All Reads	ALL	1	95016	0	0	0	0			
All Reads	ALL	2	109250	0	0	0	0			
All Reads	ALL	3	139082	0	0	0	0			
All Reads	ALL	4	149438	0	0	0	0			
All Reads	ALL	5	152532	0	0	0	0			
All Reads	ALL	6	173446	0	0	0	0			
All Reads	ALL	7	187203	0	0	0	0			
All Reads	ALL	8	213554	0	0	0	0			
All Reads	ALL	9	241757	0	0	0	0			
All Reads	ALL	10	285954	1	0	0.041177	0.041177			
All Reads	ALL	11	351175	0	0	0	0			
All Reads	ALL	12	460264	9	27	0.230242	0.076747			
All Reads	ALL	13	609431	0	0	0	0			
All Reads	ALL	14	866131	2	0	0.027189	0.019226			
All Reads	ALL	15	1276991	2	23	0.018441	0.01304			
All Reads	ALL	16	1912298	7	16	0.043101	0.016291			
All Reads	ALL	17	2873264	16	27	0.065568	0.016392			
All Reads	ALL	18	4310883	5	27	0.013657	0.006108			
All Reads	ALL	19	6364320	41	25	0.075854	0.011846			
All Reads	ALL	20	9194506	79	29	0.101169	0.011382			
All Reads	ALL	21	12934834	120	26	0.109237	0.009972			
All Reads	ALL	22	17664262	136	27	0.090655	0.007774			
All Reads	ALL	23	23450931	236	24	0.118495	0.007713			
All Reads	ALL	24	30272954	387	26	0.150524	0.007652			
All Reads	ALL	25	37967796	463	26	0.143587	0.006673			
All Reads	ALL	26	46244861	763	25	0.194272	0.007033			
All Reads	ALL	27	54888845	959	26	0.205723	0.006643			
All Reads	ALL	28	63607757	1146	26	0.21214	0.006267			
All Reads	ALL	29	72092623	1456	25	0.237804	0.006232			
All Reads	ALL	30	80150381	1954	24	0.287057	0.006494			
All Reads	ALL	31	87582575	2582	26	0.347126	0.006831			
