## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/Twist-IDT-0720ME25_S13_L001/gc_bias_metrics.pdf SUMMARY_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/Twist-IDT-0720ME25_S13_L001/summary_metrics.txt INPUT=/scratch/Shares/layer/projects/chco/bake_off_temp_files/bams_filtered_to_acmg_59/Twist-IDT-0720ME25_S13_L001.bqsr.bam OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/Twist-IDT-0720ME25_S13_L001/gc_bias_metrics.txt REFERENCE_SEQUENCE=/scratch/Shares/layer/ref/hg37/human_g1k_v37.fasta.gz    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 18 19:36:49 MDT 2020

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	132619	0	0	0	0			
All Reads	ALL	1	95016	0	0	0	0			
All Reads	ALL	2	109250	0	0	0	0			
All Reads	ALL	3	139082	0	0	0	0			
All Reads	ALL	4	149438	0	0	0	0			
All Reads	ALL	5	152532	0	0	0	0			
All Reads	ALL	6	173446	0	0	0	0			
All Reads	ALL	7	187203	0	0	0	0			
All Reads	ALL	8	213554	0	0	0	0			
All Reads	ALL	9	241757	0	0	0	0			
All Reads	ALL	10	285954	0	0	0	0			
All Reads	ALL	11	351175	2	23	0.048774	0.034489			
All Reads	ALL	12	460264	1	0	0.018607	0.018607			
All Reads	ALL	13	609431	0	0	0	0			
All Reads	ALL	14	866131	2	20	0.019776	0.013983			
All Reads	ALL	15	1276991	0	0	0	0			
All Reads	ALL	16	1912298	5	17	0.022392	0.010014			
All Reads	ALL	17	2873264	29	26	0.086438	0.016051			
All Reads	ALL	18	4310883	23	22	0.045692	0.009528			
All Reads	ALL	19	6364320	45	23	0.060554	0.009027			
All Reads	ALL	20	9194506	39	27	0.036326	0.005817			
All Reads	ALL	21	12934834	87	23	0.057603	0.006176			
All Reads	ALL	22	17664262	122	23	0.059149	0.005355			
All Reads	ALL	23	23450931	173	26	0.063179	0.004803			
All Reads	ALL	24	30272954	283	24	0.08006	0.004759			
All Reads	ALL	25	37967796	437	24	0.098571	0.004715			
All Reads	ALL	26	46244861	730	24	0.135189	0.005004			
All Reads	ALL	27	54888845	785	25	0.122481	0.004372			
All Reads	ALL	28	63607757	1071	25	0.144199	0.004406			
All Reads	ALL	29	72092623	1314	24	0.156095	0.004306			
All Reads	ALL	30	80150381	1734	25	0.185279	0.004449			
All Reads	ALL	31	87582575	2349	25	0.229693	0.004739			
