## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/Twist-IDT-1501199_S9_L001/gc_bias_metrics.pdf SUMMARY_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/Twist-IDT-1501199_S9_L001/summary_metrics.txt INPUT=/scratch/Shares/layer/projects/chco/bake_off_temp_files/bams_filtered_to_acmg_59/Twist-IDT-1501199_S9_L001.bqsr.bam OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/Twist-IDT-1501199_S9_L001/gc_bias_metrics.txt REFERENCE_SEQUENCE=/scratch/Shares/layer/ref/hg37/human_g1k_v37.fasta.gz    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 18 19:51:27 MDT 2020

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	132619	0	0	0	0			
All Reads	ALL	1	95016	0	0	0	0			
All Reads	ALL	2	109250	0	0	0	0			
All Reads	ALL	3	139082	0	0	0	0			
All Reads	ALL	4	149438	0	0	0	0			
All Reads	ALL	5	152532	0	0	0	0			
All Reads	ALL	6	173446	0	0	0	0			
All Reads	ALL	7	187203	0	0	0	0			
All Reads	ALL	8	213554	0	0	0	0			
All Reads	ALL	9	241757	0	0	0	0			
All Reads	ALL	10	285954	0	0	0	0			
All Reads	ALL	11	351175	0	0	0	0			
All Reads	ALL	12	460264	0	0	0	0			
All Reads	ALL	13	609431	1	13	0.012384	0.012384			
All Reads	ALL	14	866131	4	14	0.034853	0.017427			
All Reads	ALL	15	1276991	6	23	0.035459	0.014476			
All Reads	ALL	16	1912298	10	19	0.039465	0.01248			
All Reads	ALL	17	2873264	16	20	0.042026	0.010506			
All Reads	ALL	18	4310883	20	23	0.035013	0.007829			
All Reads	ALL	19	6364320	45	23	0.053362	0.007955			
All Reads	ALL	20	9194506	51	25	0.041861	0.005862			
All Reads	ALL	21	12934834	104	24	0.060679	0.00595			
All Reads	ALL	22	17664262	95	23	0.040588	0.004164			
All Reads	ALL	23	23450931	243	28	0.078202	0.005017			
All Reads	ALL	24	30272954	315	25	0.078528	0.004425			
All Reads	ALL	25	37967796	438	25	0.087062	0.00416			
All Reads	ALL	26	46244861	707	24	0.115379	0.004339			
All Reads	ALL	27	54888845	823	24	0.113158	0.003944			
All Reads	ALL	28	63607757	1099	25	0.130394	0.003933			
All Reads	ALL	29	72092623	1463	24	0.153152	0.004004			
All Reads	ALL	30	80150381	1969	25	0.1854	0.004178			
All Reads	ALL	31	87582575	2599	25	0.223953	0.004393			
