## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/Twist-IDT-GIAB_S49_L002/gc_bias_metrics.pdf SUMMARY_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/Twist-IDT-GIAB_S49_L002/summary_metrics.txt INPUT=/scratch/Shares/layer/projects/chco/bake_off_temp_files/bams_filtered_to_acmg_59/Twist-IDT-GIAB_S49_L002.bqsr.bam OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/Twist-IDT-GIAB_S49_L002/gc_bias_metrics.txt REFERENCE_SEQUENCE=/scratch/Shares/layer/ref/hg37/human_g1k_v37.fasta.gz    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 18 19:59:10 MDT 2020

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	132619	0	0	0	0			
All Reads	ALL	1	95016	0	0	0	0			
All Reads	ALL	2	109250	0	0	0	0			
All Reads	ALL	3	139082	0	0	0	0			
All Reads	ALL	4	149438	0	0	0	0			
All Reads	ALL	5	152532	0	0	0	0			
All Reads	ALL	6	173446	0	0	0	0			
All Reads	ALL	7	187203	0	0	0	0			
All Reads	ALL	8	213554	0	0	0	0			
All Reads	ALL	9	241757	0	0	0	0			
All Reads	ALL	10	285954	0	0	0	0			
All Reads	ALL	11	351175	1	0	0.023057	0.023057			
All Reads	ALL	12	460264	2	0	0.035185	0.024879			
All Reads	ALL	13	609431	2	0	0.026573	0.01879			
All Reads	ALL	14	866131	0	0	0	0			
All Reads	ALL	15	1276991	1	0	0.006341	0.006341			
All Reads	ALL	16	1912298	5	19	0.021171	0.009468			
All Reads	ALL	17	2873264	12	26	0.033817	0.009762			
All Reads	ALL	18	4310883	24	23	0.045079	0.009202			
All Reads	ALL	19	6364320	50	24	0.063613	0.008996			
All Reads	ALL	20	9194506	46	28	0.04051	0.005973			
All Reads	ALL	21	12934834	68	24	0.042567	0.005162			
All Reads	ALL	22	17664262	90	24	0.041255	0.004349			
All Reads	ALL	23	23450931	155	26	0.053518	0.004299			
All Reads	ALL	24	30272954	264	24	0.070612	0.004346			
All Reads	ALL	25	37967796	407	25	0.086798	0.004302			
All Reads	ALL	26	46244861	682	25	0.119413	0.004573			
All Reads	ALL	27	54888845	813	25	0.119932	0.004206			
All Reads	ALL	28	63607757	981	26	0.124879	0.003987			
All Reads	ALL	29	72092623	1362	25	0.152973	0.004145			
All Reads	ALL	30	80150381	1834	24	0.185278	0.004326			
All Reads	ALL	31	87582575	2358	25	0.217999	0.004489			
