## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/Twist-Roche-0720ME25_S5_L001/gc_bias_metrics.pdf SUMMARY_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/Twist-Roche-0720ME25_S5_L001/summary_metrics.txt INPUT=/scratch/Shares/layer/projects/chco/bake_off_temp_files/bams_filtered_to_acmg_59/Twist-Roche-0720ME25_S5_L001.bqsr.bam OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/Twist-Roche-0720ME25_S5_L001/gc_bias_metrics.txt REFERENCE_SEQUENCE=/scratch/Shares/layer/ref/hg37/human_g1k_v37.fasta.gz    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 18 20:06:49 MDT 2020

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	132619	0	0	0	0			
All Reads	ALL	1	95016	0	0	0	0			
All Reads	ALL	2	109250	0	0	0	0			
All Reads	ALL	3	139082	0	0	0	0			
All Reads	ALL	4	149438	0	0	0	0			
All Reads	ALL	5	152532	0	0	0	0			
All Reads	ALL	6	173446	0	0	0	0			
All Reads	ALL	7	187203	0	0	0	0			
All Reads	ALL	8	213554	0	0	0	0			
All Reads	ALL	9	241757	0	0	0	0			
All Reads	ALL	10	285954	1	0	0.01978	0.01978			
All Reads	ALL	11	351175	2	0	0.032212	0.022777			
All Reads	ALL	12	460264	0	0	0	0			
All Reads	ALL	13	609431	1	0	0.009281	0.009281			
All Reads	ALL	14	866131	5	22	0.032651	0.014602			
All Reads	ALL	15	1276991	6	21	0.026575	0.010849			
All Reads	ALL	16	1912298	16	21	0.047323	0.011831			
All Reads	ALL	17	2873264	27	23	0.05315	0.010229			
All Reads	ALL	18	4310883	35	20	0.045921	0.007762			
All Reads	ALL	19	6364320	81	21	0.071986	0.007998			
All Reads	ALL	20	9194506	115	26	0.070743	0.006597			
All Reads	ALL	21	12934834	147	24	0.064279	0.005302			
All Reads	ALL	22	17664262	208	23	0.066601	0.004618			
All Reads	ALL	23	23450931	444	23	0.107087	0.005082			
All Reads	ALL	24	30272954	643	24	0.120135	0.004738			
All Reads	ALL	25	37967796	889	25	0.132434	0.004442			
All Reads	ALL	26	46244861	1358	24	0.166092	0.004507			
All Reads	ALL	27	54888845	1600	25	0.164872	0.004122			
All Reads	ALL	28	63607757	2044	25	0.181754	0.00402			
All Reads	ALL	29	72092623	2549	24	0.199982	0.003961			
All Reads	ALL	30	80150381	3414	25	0.240918	0.004123			
