## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/Twist-Roche-1501199_S2_L001/gc_bias_metrics.pdf SUMMARY_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/Twist-Roche-1501199_S2_L001/summary_metrics.txt INPUT=/scratch/Shares/layer/projects/chco/bake_off_temp_files/bams_filtered_to_acmg_59/Twist-Roche-1501199_S2_L001.bqsr.bam OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/Twist-Roche-1501199_S2_L001/gc_bias_metrics.txt REFERENCE_SEQUENCE=/scratch/Shares/layer/ref/hg37/human_g1k_v37.fasta.gz    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 18 20:22:23 MDT 2020

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	132619	0	0	0	0			
All Reads	ALL	1	95016	0	0	0	0			
All Reads	ALL	2	109250	0	0	0	0			
All Reads	ALL	3	139082	0	0	0	0			
All Reads	ALL	4	149438	0	0	0	0			
All Reads	ALL	5	152532	0	0	0	0			
All Reads	ALL	6	173446	0	0	0	0			
All Reads	ALL	7	187203	0	0	0	0			
All Reads	ALL	8	213554	0	0	0	0			
All Reads	ALL	9	241757	0	0	0	0			
All Reads	ALL	10	285954	0	0	0	0			
All Reads	ALL	11	351175	0	0	0	0			
All Reads	ALL	12	460264	0	0	0	0			
All Reads	ALL	13	609431	2	0	0.019725	0.013948			
All Reads	ALL	14	866131	2	17	0.013879	0.009814			
All Reads	ALL	15	1276991	6	21	0.02824	0.011529			
All Reads	ALL	16	1912298	18	27	0.056575	0.013335			
All Reads	ALL	17	2873264	21	22	0.043929	0.009586			
All Reads	ALL	18	4310883	22	20	0.030674	0.00654			
All Reads	ALL	19	6364320	97	22	0.091607	0.009301			
All Reads	ALL	20	9194506	126	23	0.082367	0.007338			
All Reads	ALL	21	12934834	134	23	0.062266	0.005379			
All Reads	ALL	22	17664262	229	24	0.07792	0.005149			
All Reads	ALL	23	23450931	372	25	0.095344	0.004943			
All Reads	ALL	24	30272954	602	24	0.119523	0.004871			
All Reads	ALL	25	37967796	849	24	0.1344	0.004613			
All Reads	ALL	26	46244861	1244	25	0.161683	0.004584			
All Reads	ALL	27	54888845	1413	24	0.154727	0.004116			
All Reads	ALL	28	63607757	1932	24	0.18256	0.004153			
All Reads	ALL	29	72092623	2159	24	0.179999	0.003874			
All Reads	ALL	30	80150381	3044	24	0.228269	0.004137			
