## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/Twist-Roche-GIAB_S41_L002/gc_bias_metrics.pdf SUMMARY_OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/Twist-Roche-GIAB_S41_L002/summary_metrics.txt INPUT=/scratch/Shares/layer/projects/chco/bake_off_temp_files/bams_filtered_to_acmg_59/Twist-Roche-GIAB_S41_L002.bqsr.bam OUTPUT=/Shares/layer_shared/projects/chco/exome_bakeoff/Analyses/Biases/GCBias/results/Twist-Roche-GIAB_S41_L002/gc_bias_metrics.txt REFERENCE_SEQUENCE=/scratch/Shares/layer/ref/hg37/human_g1k_v37.fasta.gz    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 18 20:30:19 MDT 2020

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	132619	0	0	0	0			
All Reads	ALL	1	95016	0	0	0	0			
All Reads	ALL	2	109250	0	0	0	0			
All Reads	ALL	3	139082	0	0	0	0			
All Reads	ALL	4	149438	0	0	0	0			
All Reads	ALL	5	152532	0	0	0	0			
All Reads	ALL	6	173446	0	0	0	0			
All Reads	ALL	7	187203	0	0	0	0			
All Reads	ALL	8	213554	0	0	0	0			
All Reads	ALL	9	241757	0	0	0	0			
All Reads	ALL	10	285954	0	0	0	0			
All Reads	ALL	11	351175	4	0	0.046605	0.023302			
All Reads	ALL	12	460264	8	0	0.071118	0.025144			
All Reads	ALL	13	609431	4	0	0.026855	0.013428			
All Reads	ALL	14	866131	5	27	0.02362	0.010563			
All Reads	ALL	15	1276991	6	0	0.019225	0.007848			
All Reads	ALL	16	1912298	25	21	0.053491	0.010698			
All Reads	ALL	17	2873264	72	24	0.10253	0.012083			
All Reads	ALL	18	4310883	82	21	0.077829	0.008595			
All Reads	ALL	19	6364320	202	22	0.129866	0.009137			
All Reads	ALL	20	9194506	230	23	0.102352	0.006749			
All Reads	ALL	21	12934834	280	22	0.088571	0.005293			
All Reads	ALL	22	17664262	410	24	0.094969	0.00469			
All Reads	ALL	23	23450931	759	26	0.132427	0.004807			
All Reads	ALL	24	30272954	1020	24	0.137861	0.004317			
All Reads	ALL	25	37967796	1397	26	0.150548	0.004028			
All Reads	ALL	26	46244861	2184	24	0.193234	0.004135			
All Reads	ALL	27	54888845	2471	26	0.184197	0.003706			
All Reads	ALL	28	63607757	3159	26	0.203205	0.003615			
All Reads	ALL	29	72092623	3885	25	0.220493	0.003538			
All Reads	ALL	30	80150381	5312	25	0.271174	0.003721			
