sample,gene,quality
Nextera-Agilent-1501199_S51_L002,SMAD3,41.857835973345786
Nextera-Agilent-1501199_S51_L002,DSG2,40.38435334475702
Nextera-Agilent-1501199_S51_L002,SMAD4,40.72141458857428
Nextera-Agilent-1501199_S51_L002,KCNQ1,42.24717566300813
Nextera-Agilent-1501199_S51_L002,ACTC1,41.51526022000247
Nextera-Agilent-1501199_S51_L002,SCN5A,40.68714109857301
Nextera-Agilent-1501199_S51_L002,MYL2,43.166150625227736
Nextera-Agilent-1501199_S51_L002,DSC2,41.508802403151186
Nextera-Agilent-1501199_S51_L002,PKP2,41.02639047701417
Nextera-Agilent-1501199_S51_L002,PTEN,40.70768554666663
Nextera-Agilent-1501199_S51_L002,MUTYH,40.437533082742284
Nextera-Agilent-1501199_S51_L002,RYR2,41.432570917996344
Nextera-Agilent-1501199_S51_L002,ATP7B,40.786610591174224
Nextera-Agilent-1501199_S51_L002,ACTA2,42.11067291363555
Nextera-Agilent-1501199_S51_L002,FBN1,42.26754950219618
Nextera-Agilent-1501199_S51_L002,NF2,41.643476235446066
Nextera-Agilent-1501199_S51_L002,TNNT2,43.07939054464165
Nextera-Agilent-1501199_S51_L002,MSH6,39.62992718611622
Nextera-Agilent-1501199_S51_L002,TMEM43,41.9761722909357
Nextera-Agilent-1501199_S51_L002,MYL3,41.660460993623
Nextera-Agilent-1501199_S51_L002,RB1,41.45345688727017
Nextera-Agilent-1501199_S51_L002,TSC1,41.20407484442747
Nextera-Agilent-1501199_S51_L002,MYH11,41.87039496078123
Nextera-Agilent-1501199_S51_L002,BRCA1,40.65357914152576
Nextera-Agilent-1501199_S51_L002,TNNI3,41.683849622373465
Nextera-Agilent-1501199_S51_L002,PRKAG2,41.954016110678225
Nextera-Agilent-1501199_S51_L002,CACNA1S,41.65919577780024
Nextera-Agilent-1501199_S51_L002,PMS2,41.12705414922889
Nextera-Agilent-1501199_S51_L002,TGFBR1,41.94440631846468
Nextera-Agilent-1501199_S51_L002,BMPR1A,40.86666865176981
Nextera-Agilent-1501199_S51_L002,TP53,41.24686847562881
Nextera-Agilent-1501199_S51_L002,WT1,41.56485992440005
Nextera-Agilent-1501199_S51_L002,LMNA,40.905813269975845
Nextera-Agilent-1501199_S51_L002,MYBPC3,41.083278967800936
Nextera-Agilent-1501199_S51_L002,BRCA2,39.67204403225456
Nextera-Agilent-1501199_S51_L002,COL3A1,41.39284936947597
Nextera-Agilent-1501199_S51_L002,TGFBR2,40.99599276141451
Nextera-Agilent-1501199_S51_L002,RET,41.30796863094721
Nextera-Agilent-1501199_S51_L002,SDHB,41.84871101545489
Nextera-Agilent-1501199_S51_L002,MYH7,41.161353206403014
Nextera-Agilent-1501199_S51_L002,DSP,40.20585148443882
Nextera-Agilent-1501199_S51_L002,LDLR,41.539244493454646
Nextera-Agilent-1501199_S51_L002,TSC2,41.50453869531073
Nextera-Agilent-1501199_S51_L002,VHL,40.00093496604472
Nextera-Agilent-1501199_S51_L002,OTC,41.69041191757017
Nextera-Agilent-1501199_S51_L002,APOB,40.321249165705545
Nextera-Agilent-1501199_S51_L002,MEN1,40.677833861933124
Nextera-Agilent-1501199_S51_L002,SDHAF2,41.0064394538093
Nextera-Agilent-1501199_S51_L002,RYR1,41.11087881843244
Nextera-Agilent-1501199_S51_L002,TPM1,41.60194928149453
Nextera-Agilent-1501199_S51_L002,SDHC,41.784689114992986
Nextera-Agilent-1501199_S51_L002,STK11,40.41912427700672
Nextera-Agilent-1501199_S51_L002,MLH1,40.97374079641152
Nextera-Agilent-1501199_S51_L002,MSH2,41.3346934299822
Nextera-Agilent-1501199_S51_L002,APC,39.736324915182585
Nextera-Agilent-1501199_S51_L002,KCNH2,40.3289734608474
Nextera-Agilent-1501199_S51_L002,PCSK9,40.720304227858016
Nextera-Agilent-1501199_S51_L002,GLA,41.103644494137804
NexteraCap-Roche-1501199_S57_L002,SMAD3,44.086341792735126
NexteraCap-Roche-1501199_S57_L002,DSG2,43.38543902332789
NexteraCap-Roche-1501199_S57_L002,SMAD4,41.75254915366785
NexteraCap-Roche-1501199_S57_L002,KCNQ1,45.82765665847245
NexteraCap-Roche-1501199_S57_L002,ACTC1,42.88439720867433
NexteraCap-Roche-1501199_S57_L002,SCN5A,42.81349575023491
NexteraCap-Roche-1501199_S57_L002,MYL2,45.50455252238521
NexteraCap-Roche-1501199_S57_L002,DSC2,43.55822391174317
NexteraCap-Roche-1501199_S57_L002,PKP2,43.06311307982392
NexteraCap-Roche-1501199_S57_L002,PTEN,46.80293258407872
NexteraCap-Roche-1501199_S57_L002,MUTYH,42.72141819173734
NexteraCap-Roche-1501199_S57_L002,RYR2,44.671418821933884
NexteraCap-Roche-1501199_S57_L002,ATP7B,42.99177145319788
NexteraCap-Roche-1501199_S57_L002,ACTA2,44.85932901090005
NexteraCap-Roche-1501199_S57_L002,FBN1,45.07816136313296
NexteraCap-Roche-1501199_S57_L002,NF2,43.04399726526849
NexteraCap-Roche-1501199_S57_L002,TNNT2,45.955639512506046
NexteraCap-Roche-1501199_S57_L002,MSH6,43.38677951054636
NexteraCap-Roche-1501199_S57_L002,TMEM43,44.07583752216961
NexteraCap-Roche-1501199_S57_L002,MYL3,44.74885859695929
NexteraCap-Roche-1501199_S57_L002,RB1,44.272877725856695
NexteraCap-Roche-1501199_S57_L002,TSC1,43.82337912671275
NexteraCap-Roche-1501199_S57_L002,MYH11,43.55548563219567
NexteraCap-Roche-1501199_S57_L002,BRCA1,43.7466551335822
