sample,gene,quality,technology
Nextera-Agilent-1501199_S51_L002,SMAD3,41.857835973345786,Agilent
Nextera-Agilent-1501199_S51_L002,DSG2,40.38435334475702,Agilent
Nextera-Agilent-1501199_S51_L002,SMAD4,40.72141458857428,Agilent
Nextera-Agilent-1501199_S51_L002,KCNQ1,42.24717566300813,Agilent
Nextera-Agilent-1501199_S51_L002,ACTC1,41.51526022000247,Agilent
Nextera-Agilent-1501199_S51_L002,SCN5A,40.68714109857301,Agilent
Nextera-Agilent-1501199_S51_L002,MYL2,43.166150625227736,Agilent
Nextera-Agilent-1501199_S51_L002,DSC2,41.508802403151186,Agilent
Nextera-Agilent-1501199_S51_L002,PKP2,41.02639047701417,Agilent
Nextera-Agilent-1501199_S51_L002,PTEN,40.70768554666663,Agilent
Nextera-Agilent-1501199_S51_L002,MUTYH,40.437533082742284,Agilent
Nextera-Agilent-1501199_S51_L002,RYR2,41.432570917996344,Agilent
Nextera-Agilent-1501199_S51_L002,ATP7B,40.786610591174224,Agilent
Nextera-Agilent-1501199_S51_L002,ACTA2,42.11067291363555,Agilent
Nextera-Agilent-1501199_S51_L002,FBN1,42.26754950219618,Agilent
Nextera-Agilent-1501199_S51_L002,NF2,41.643476235446066,Agilent
Nextera-Agilent-1501199_S51_L002,TNNT2,43.07939054464165,Agilent
Nextera-Agilent-1501199_S51_L002,MSH6,39.62992718611622,Agilent
Nextera-Agilent-1501199_S51_L002,TMEM43,41.9761722909357,Agilent
Nextera-Agilent-1501199_S51_L002,MYL3,41.660460993623,Agilent
Nextera-Agilent-1501199_S51_L002,RB1,41.45345688727017,Agilent
Nextera-Agilent-1501199_S51_L002,TSC1,41.20407484442747,Agilent
Nextera-Agilent-1501199_S51_L002,MYH11,41.87039496078123,Agilent
Nextera-Agilent-1501199_S51_L002,BRCA1,40.65357914152576,Agilent
Nextera-Agilent-1501199_S51_L002,TNNI3,41.683849622373465,Agilent
Nextera-Agilent-1501199_S51_L002,PRKAG2,41.954016110678225,Agilent
Nextera-Agilent-1501199_S51_L002,CACNA1S,41.65919577780024,Agilent
