sample-name, LDLR ACTA2 MYH7 ATP7B MEN1 APOB TSC2 TNNT2 ACTC1 SCN5A TGFBR1 BMPR1A KCNQ1 GLA SMAD4 SMAD3 LMNA MUTYH CACNA1S APC SDHB PRKAG2 RET TNNI3 MYH11 BRCA1 MLH1 SDHC TMEM43 RYR1 TPM1 VHL OTC DSP MSH2 RB1 RYR2 SDHAF2 MSH6 FBN1 MYL2 WT1 BRCA2 DSG2 PKP2 PTEN DSC2 TGFBR2 TP53 MYBPC3 KCNH2 COL3A1 PMS2 PCSK9 STK11 NF2 TSC1 MYL3
Agilent, 43.55551565359787 43.559838688667256 43.38436313635835 42.84025236517926 43.165475897786614 42.841526080490226 43.77850512574305 45.333356106791136 43.608499558025834 42.80914748520069 43.766205044984964 43.40886569948447 45.589860368972474 44.26389012231414 43.276615219645095 44.245691685881496 43.14975124140525 42.24868054309312 43.99021046066989 42.61296335595365 44.50435030000095 44.77246903047394 44.69267503678091 44.264673130702775 43.55584655522762 42.67607820145396 43.85011512179929 42.57378726238527 43.494178031613146 43.96625013404879 47.058236198205236 51.53650092922821 44.61997138550967 43.55325577526059 44.01555773161932 46.0223917707401 44.0727488590901 43.479839114513084 42.932571168622054 44.07429788468219 45.56711531116047 48.56808801853317 42.70147976527922 43.225460481188634 43.50471648042806 44.070308358481476 44.08727310132962 44.057953285181604 43.626218970182045 43.28016434581411 44.5733539303629 43.22575666843492 43.79557123711361 44.460315080803845 45.570039112322085 44.74292982537021 43.23157457182289 43.73305385837413
Agilent, 41.017024918948266 41.34381382603597 41.09150631519716 40.376628767055166 40.10966492257694 40.206810405370206 41.18759557456023 43.335703411441905 41.086288895693095 40.379686877906344 41.27476793841349 40.658089095469265 41.79898214522916 41.01025526665654 41.16921523038457 41.20844740043606 40.46593431504715 40.39815783317368 41.428812407864534 39.66545589268559 42.55028091332298 41.670304935681614 41.09033896353126 41.73771344391209 41.74388074902714 40.43098445313207 40.86934808440148 41.12530881985353 41.610804597608706 40.76523714190621 41.149976915825924 41.683347575586566 42.02191010676812 39.92019838959057 40.705774956835455 41.07342555475908 41.342659218889416 40.7179670052772 39.3650618619426 41.828670569981284 42.5851501882248 41.394922975076504 39.38650217177869 40.25582104439904 41.204132771052905 40.20464336823429 41.33456758089048 40.3513994835907 41.010366212215 41.21101399316186 40.11950072891055 41.0670459076955 40.8449232675263 40.550939223716966 40.45854507296737 41.23331072792874 40.771617874285 41.132232083005356
Agilent, 38.89977037506237 39.04108279916544 38.987650706317574 38.64866308108765 38.51068961034206 38.39578632808493 38.84620559578413 40.30389585758803 38.92927811961397 38.58830083633098 38.621382905083394 38.510871581329106 40.10890490220455 38.99543691179412 38.5733439972955 39.110330985123014 38.38752781401339 38.41647374448342 39.24365174943117 38.06321140135738 39.27177795954512 39.45582175372887 38.771162778558605 39.30852669321329 39.28688776624322 38.40836444008645 38.867936481227886 38.916534103171436 39.23863962858196 38.786765588295616 38.95577092094256 38.89142691254679 38.97664164605944 38.433157068072035 38.52993213018808 38.8071251560379 39.08516085258685 38.82816555139296 37.84718609732533 39.54555429182092 40.2059809296467 38.7360868566254 37.975287280871264 38.45199578830769 38.94927512309656 38.53325904016054 39.0802973697402 38.73014927677854 38.680593342422156 39.06344615776493 38.27290660199437 38.95449459932742 38.94692731650641 38.35610821245472 38.853724801609914 39.36376033415754 39.25186357275825 38.69229731021365
Agilent, 41.28171982676878 41.76988080330248 41.281431650931616 40.940468580454755 40.45566489453451 40.31324736748779 41.268808208975564 43.81835137870794 41.389601564804885 40.440526235329834 41.40076054790895 40.84982707938117 41.792740156688474 41.480894966056134 40.945584205791164 41.64551749200388 40.7876380975436 40.65731553862143 41.603982921732076 39.79279321693404 42.15558207416902 41.898784474702566 41.422121589850924 41.47343114281958 42.16607929723009 40.783562034507 40.970513567619946 41.95756380213478 41.78685200602114 41.09627815592427 41.040683684566176 40.300038136245654 41.30960984357352 40.201324454844446 40.54946654163147 41.60797554289752 41.67573753903306 41.381336185480066 39.67730539047935 42.272576492928174 42.38457280754603 41.45656566185592 39.62677910652493 40.533201299031134 41.37661176736338 40.468096071012 41.104855883601985 40.82323444080491 41.31886739355681 41.31006711052089 40.52322737954728 41.302828164318974 41.36727679884462 40.78823032677428 40.77207874478808 41.704196433916785 41.14866383106325 41.03888612852782
Agilent, 41.9446791494235 42.69417454088011 41.61489951802199 41.87088076536135 42.26305447786279 41.45837578145077 42.45460661481993 42.63802900544224 41.54714521707386 41.289621880089115 41.9161353315001 41.360259383354624 44.401829920620855 42.408129817434094 41.62581973046155 42.576434451064074 41.780503183871545 40.91178869936169 42.197711718162864 41.1222030064938 42.5766048692015 43.317714600096856 42.96706561407679 41.32538393311084 42.04059708582837 41.10719569824812 41.880237721423214 41.80604877834523 42.77597692869713 42.47217792761888 44.79116851109359 48.20916361612808 42.794708073297784 42.02865114410614 42.06347670968722 42.56531213399785 42.470054010750864 41.886361835815116 41.973011245454565 42.701622812944535 43.401266669450244 43.74593071161413 41.317512676663895 42.09744621574939 42.46556908462003 42.397112532638964 42.71408122594867 42.117039081948825 42.00448653542593 42.29169354714351 43.55176944924486 41.32251807568808 42.31621585017742 42.86850712643772 44.16796030618435 42.54883220274889 41.623667945382294 41.70440348552144
Agilent, 41.539244493454646 42.11067291363555 41.161353206403014 40.786610591174224 40.677833861933124 40.321249165705545 41.50453869531073 43.07939054464165 41.51526022000247 40.68714109857301 41.94440631846468 40.86666865176981 42.24717566300813 41.103644494137804 40.72141458857428 41.857835973345786 40.905813269975845 40.437533082742284 41.65919577780024 39.736324915182585 41.84871101545489 41.954016110678225 41.30796863094721 41.683849622373465 41.87039496078123 40.65357914152576 40.97374079641152 41.784689114992986 41.9761722909357 41.11087881843244 41.60194928149453 40.00093496604472 41.69041191757017 40.20585148443882 41.3346934299822 41.45345688727017 41.432570917996344 41.0064394538093 39.62992718611622 42.26754950219618 43.166150625227736 41.56485992440005 39.67204403225456 40.38435334475702 41.02639047701417 40.70768554666663 41.508802403151186 40.99599276141451 41.24686847562881 41.083278967800936 40.3289734608474 41.39284936947597 41.12705414922889 40.720304227858016 40.41912427700672 41.643476235446066 41.20407484442747 41.660460993623
Agilent, 41.98756057862577 42.370325259291945 41.81661194747773 41.35827167641996 41.404997480961434 41.22820886139661 42.5700494393208 43.4760346578377 41.87600145245552 41.13603838987991 41.67300842541502 41.38124896224163 43.320802996271134 41.968203246216284 41.6711536559205 42.57614055654183 41.982159087596386 41.47467409087799 42.31786182711947 41.242771956840244 43.048743263899446 43.523098442564624 42.44092438557326 41.01661797065203 41.96246955147589 41.07600507740688 41.83819413363091 41.97840326748093 42.50291807788045 42.22892532249977 44.54761590112929 48.81740863510363 42.3333970043901 41.8472456563102 41.9772977837403 43.27626243211231 42.18980896967338 41.938005004159535 41.57824473291896 42.606236988495375 42.648999971443395 45.9209386155982 41.12349913422243 41.94622133944541 42.525754611770154 42.206284702778795 42.339021446636075 42.14626301262368 41.71812753367473 41.866771683476095 43.73391211221291 41.36882055303311 42.29318943324526 43.12357147647361 44.22840778324493 42.679018762385745 41.944587885701395 42.23179354498023
Agilent, 40.817850859305764 40.813705061359265 40.827807501221116 40.654325114313124 40.92718312289368 40.44292013460349 41.364321595502254 42.56341663178251 40.492446659866715 40.4912270184868 40.32227772567845 41.00639651113685 42.542669005639375 40.23583007131998 41.03916360216456 41.78665051890232 41.045721314741954 39.87966652996534 41.267887955825316 40.248879481903096 40.91166831021068 42.00152037094767 40.87702881891523 40.738844213159005 41.00246978199252 40.456432638570455 40.91155901020132 40.956813994643134 42.091413886996335 41.23413112705673 44.04067305361511 51.5704210326645 41.71614470187747 41.19485104704178 41.5346882705675 41.62309984799508 41.487592019160665 40.69910002991222 40.335440883928236 41.61745460839721 42.08531570194452 44.94356938436679 40.58120831448283 40.49352766239496 41.7871483998859 41.051845255461394 40.903797411212445 41.34444578596996 41.11582687091028 41.028537323900366 42.568918896739675 40.834235692457725 41.11871831186019 42.431814249561256 43.454476657136425 41.561228729617696 40.446177097611056 40.545972190602654
IDT, 41.725197423023474 43.508180774762764 42.20432877311211 42.538743254918664 42.29389991708887 41.70524823488717 42.59402848810392 44.581350368182996 43.07427368928393 42.55155596163751 42.46869521367315 42.9760989464857 44.17030770103743 43.805186175416644 42.44861468310919 42.29157744869511 42.13534094374199 41.73207452931506 43.16379276268246 41.75005425955402 42.7398937644286 43.89959144603378 43.48165822770673 44.17231835389708 42.80207614571068 42.05796018904381 43.62076030257597 43.929108537240296 43.26844081970811 42.919711876894624 46.92874491986181 46.647408038131495 42.02120907621115 42.1256810405651 42.64562893827965 43.984063574968985 43.49523897726659 42.39750626803256 42.012168638179126 42.71035229154888 44.73587703891524 46.87942070060104 41.87246501853799 42.259785603678026 43.011888065292176 43.8164255653559 43.34000614060467 43.00299890577855 43.048585026248944 42.555568292917535 44.34456949141961 43.98243557419595 42.94867888987309 44.033548328292675 44.66149024482562 43.670675140486644 42.87302516988143 42.574899996440124
IDT, 41.39625092109135 42.38394518835532 41.95276612080453 42.0799428844591 41.413018980932165 41.11097627934402 42.47280382830012 43.59795235826967 41.94781074995355 41.178676490783886 41.71451196065541 42.689813542295106 43.045258815713645 42.933906184746334 41.50606272661678 41.78606899674542 40.86538635389473 41.02321062556203 41.77002376131123 41.198974811283364 42.616883072562494 43.90257656385458 42.5809313107689 43.18952126134058 41.85107201483208 41.736223411923774 42.14930406616168 43.20478107550335 42.801797083122786 42.35900894944942 45.805062197320325 47.287529918043624 41.383405916752764 41.4476922539376 42.3219926924621 43.99792256610126 42.24425917960671 42.61732727237971 41.13778828259883 42.16978300634453 43.36301656281883 45.53606726538814 40.935845684812115 41.99673190178239 42.48190258164219 42.462511757146046 42.3062295891659 42.415677729319974 42.5640768094998 41.535712013335576 43.494371694515145 43.07491722383109 41.92904951638439 42.96095856626404 45.524030758531175 42.54070020460551 42.02388293877332 42.45952787851017
