sample-name,LDLR ACTA2 MYH7 ATP7B MEN1 APOB TSC2 TNNT2 ACTC1 SCN5A TGFBR1 BMPR1A KCNQ1 GLA SMAD4 SMAD3 LMNA MUTYH CACNA1S APC SDHB PRKAG2 RET TNNI3 MYH11 BRCA1 MLH1 SDHC TMEM43 RYR1 TPM1 VHL OTC DSP MSH2 RB1 RYR2 SDHAF2 MSH6 FBN1 MYL2 WT1 BRCA2 DSG2 PKP2 PTEN DSC2 TGFBR2 TP53 MYBPC3 KCNH2 COL3A1 PMS2 PCSK9 STK11 NF2 TSC1 MYL3
AgilentQXT-0720ME25,46.978781116 47.8497323793 47.8645603376 47.0701192605 48.0007192268 44.7015401736 48.7750094307 49.2077568211 48.6153666522 47.5316475423 47.0031920732 45.8595552409 49.5632528031 47.3064757609 46.5003617142 48.6877579909 47.5326946058 47.2330491597 49.2150856785 43.9956774153 47.5902068353 46.8953169214 48.468940504 48.8292275653 47.7119840533 45.0302821342 46.8514280576 47.4023488912 49.4777651716 48.643346659 46.61378505 45.9048317696 47.2707793563 45.3486911898 45.6851199267 46.0347372702 46.9035078217 46.2706168029 44.4786871425 47.7280013329 50.063592727 47.5461985885 43.504721027 45.7702309983 46.8932077933 45.6090198405 46.7191552376 47.3544834271 48.4060178021 49.2260403847 47.265385218 47.1206128085 45.866122146 48.3904492079 47.8752441626 47.956710525 46.8779980216 49.9570528348
AgilentQXT-0720ME25,45.2585421902 46.3094407701 45.8418428061 45.0155163685 45.2187322092 42.6357663397 47.3600604732 48.0639329027 45.6093016977 45.3918471273 44.29709079 44.4658695634 48.6738235806 45.4951498499 45.3386193594 47.1268714911 46.1431225231 46.2911969755 47.9128821162 43.0432473992 46.4396782822 45.9654345745 46.3024844208 46.7229394846 45.7074324689 43.0718397969 45.9171578752 45.8131981103 47.6797390606 46.7822513197 45.6682605657 44.8396494107 45.4737007058 43.5525994155 44.3534815971 44.4401773457 45.3325303632 44.2397355238 42.8133626829 45.9177767067 48.5245225446 45.4540341847 41.9937354112 44.0310289435 44.7952964522 43.5981607966 45.1954082693 44.9773956196 46.7411497103 47.2497473224 45.4687084987 46.1053272755 44.0355742599 47.1190282098 47.3797782302 46.9310931847 45.1634118416 48.1593949834
AgilentQXT-0720ME25,44.1443370308 44.6207571119 44.5000415551 43.8342768842 43.7740867389 42.1037236459 45.6718059198 47.6279153109 43.8603871583 44.354266167 42.9404399627 43.470786737 45.8649096414 44.7581545969 43.7602207042 45.5017806996 43.9416466987 44.0179361414 45.6652923467 41.9051588466 45.5565257489 44.5793073024 45.0534064749 45.8772280087 44.5870615641 42.7688806126 43.6243420453 44.5303559691 46.5011722556 45.1495611636 43.7540814362 43.239369155 42.9127501765 42.7664532335 42.9036362749 43.211127859 43.8786556165 41.9200131197 42.3055886777 43.747788375 45.7188166516 44.6708970329 40.9280523715 43.1434094564 43.8524730919 43.4094018278 43.3555064851 43.5500050304 45.3544731852 45.2134106966 44.5802777204 44.6095478512 43.420176144 45.4162050265 45.359933277 45.5978538621 44.2222718054 45.6415942584
AgilentQXT-110465,45.1412761321 46.2260021693 45.125053933 44.7525534358 44.2260763091 42.395829159 45.9945868932 47.0915361892 44.5821786059 45.2594938251 45.1175051501 43.4176774579 47.5025972646 45.6706596333 44.5010398928 44.7723595087 44.4856359518 44.5686309348 46.6805120852 42.4556215673 45.3199984418 45.3375740004 45.7597261102 46.2198481591 45.538930867 43.4647621462 45.4059808518 45.966344289 47.7204167045 45.8502007669 44.19239142 44.3633261997 44.8369241447 42.8982779918 43.4092088551 44.1672038765 44.872621634 42.9552494624 42.7757200585 45.1645060095 47.6590852164 45.0208583548 41.890845817 43.1377592477 43.8560271284 45.0398961104 44.0442884134 44.6516796407 46.4770038036 45.8843315831 44.5082540632 45.4595758147 44.3766631805 45.9761385707 46.2420020617 45.3684696184 44.2176181367 46.7097944628
AgilentQXT-110465,44.642321525 45.0144438437 44.8388984135 43.9922804908 44.1833718525 41.9800636219 45.6097298779 47.2753961085 44.0468398877 44.183868884 43.8578321173 44.3733317424 46.8819859427 44.2278187086 44.6552590962 45.0399849627 45.3364748243 44.693655323 45.8299514529 42.1972779242 45.0666107931 45.0402850462 45.4252296733 46.2635145595 44.8208409296 42.4462033111 44.7678262595 43.7299432008 46.446544388 45.6134722384 44.4627164107 43.6607582444 44.8306402442 42.597896319 43.0264155434 44.2652720809 44.5578397509 42.6849091675 41.8005804409 45.1966648663 47.3762548227 44.5878353011 41.4023948979 43.072632678 43.5957198246 43.4702350725 44.1655024874 43.5247555195 45.0758592186 45.7168402302 44.4501413573 45.4952563935 43.5674882802 45.7069513364 45.6343359361 45.5735790289 43.8995822613 47.3523078302
AgilentQXT-110465,45.0541189861 45.728315226 45.4471009995 44.325607599 44.853717638 42.6467557481 46.1342938985 46.1162939407 45.2406977809 44.6537720892 44.087850144 43.7739801806 47.0335631217 45.2486982831 44.1698785134 45.3756561221 44.6658384347 44.1239199883 46.1654364727 42.5611632783 44.6850063462 44.3117210271 46.3205745032 46.0743337229 45.3193807663 42.9278384933 45.0181437642 45.4655116937 46.7282817165 45.863416377 44.1583163499 45.0451376081 44.7498120906 42.9709813602 43.9105357221 43.9189225001 44.5718097411 44.6838946157 42.5332154017 45.0664520963 46.3046752833 44.8760035713 41.7504093443 43.8282227138 45.2694602381 44.4546956002 44.5216399517 44.5202826977 45.1066233608 46.2900018543 44.9181780331 44.9228989104 44.536118909 45.6827522389 45.4024264349 45.5329479334 44.7075466758 45.3023077287
AgilentQXT-1501199,45.8105872596 46.1662650482 46.012735717 45.6701981837 45.609646019 43.2488792284 47.5357451864 48.6329431599 45.6105663169 46.5512636661 44.8211370194 46.1039529829 47.5281985083 45.4783263901 46.7705473648 48.7275257435 47.0145683163 46.9447072221 47.3527742213 43.3232580266 46.6920068531 45.6477585542 46.4284754884 48.8568652751 46.3582330714 43.9434415203 46.3697948985 46.6501535865 48.0391193872 47.2823149736 46.3859259287 45.0623286674 45.9776136286 44.2477410955 44.9776097833 45.327488098 46.0101199429 43.4775180606 43.6332063652 46.9352517884 47.4409938741 46.3411441059 42.376943293 45.4169417868 45.550414137 46.4138305539 45.2105632962 45.8824367062 46.0718886769 47.4319707628 45.7168754265 47.4139201097 45.4458464224 47.2140471977 48.3057478813 47.1412637239 45.7126305991 47.8904246032
AgilentQXT-1501199,47.0998646332 47.3269390657 47.6173291562 46.7467450579 47.2487576862 44.4457266469 48.3571374433 49.5826291988 48.0652979503 47.2168001544 46.5939360407 46.5081719635 49.2741521903 47.2998357 46.8619311634 48.7049648645 48.5727240128 47.3735760305 48.7043994495 44.2731526024 47.7445156181 47.107066866 48.4494983929 48.8074143209 47.6847303961 44.545786916 46.1151703192 47.4853112867 49.3939399181 48.338380335 46.4811435129 46.9207194205 47.0253225416 45.1374005925 45.8081068786 45.9384715169 46.53871692 45.8568292736 44.6414612925 47.4201972262 48.9439012264 47.3417293564 43.4986836442 45.5015574959 47.0541200029 46.608338763 46.9498090957 47.0696937667 47.4725297069 48.6941997616 46.8518770431 47.0278725787 46.0388550357 48.0085097484 47.3749484917 48.2271344389 46.6483700141 48.1197504551
AgilentQXT-1501199,44.3261517365 45.340378944 44.7539725762 44.2306796333 43.7285861947 42.6147452398 46.0593291235 48.1649600047 44.3034052154 44.9679824068 43.9867492754 43.5383307334 46.4360140323 44.5749928503 43.8343424138 45.0459998433 44.7242443971 44.604132133 45.9493663521 42.3056456169 44.9808313356 44.865225553 44.9168666169 46.0072290849 44.7788314789 43.2613604847 44.9397927862 44.2744916081 47.3731011639 45.5447600608 44.5100472252 43.7860505614 44.6527209385 42.9106602962 43.5629884975 44.4466177899 44.3099735885 42.3739808612 42.646740465 44.5220596556 46.7614933418 44.6901714799 41.8358294651 43.3920731327 44.3647433752 44.3887141158 43.9426794192 43.9275684054 45.726924268 45.8224938481 44.4019566001 45.4972841715 44.3271298049 45.9695110872 45.9933569853 45.849231423 44.550562692 45.8406556748
AgilentQXT-GIAB,45.0015541475 47.0690889463 46.3841078332 45.7468829129 46.0275014782 43.6501890542 48.0660532407 48.6650873038 46.370887667 46.7853818843 45.4855339677 45.2847890239 48.0926598821 45.6392844807 45.5082576313 46.694023453 46.362935989 45.3010399228 47.5157937103 43.7683754016 46.9462444107 45.6010940068 47.4134015546 46.9946429514 46.6203634836 43.8189098455 46.4715014779 47.4655344681 48.0768628579 47.3744034325 45.413533825 46.596530476 45.83399204 44.4373337067 45.4489629764 45.2091930371 45.9091224816 44.6601808221 43.9404640493 46.4444417632 47.8710339519 46.6775549784 42.6611196186 44.7076388231 45.9151213309 45.3212409031 45.0142194936 46.2723213392 47.0716618383 47.4889276233 45.8177907861 46.2873533131 45.251145009 46.6590306962 47.1278455514 46.7001661247 45.7820988048 47.9802984303
