sample-name,FUS NF1 PIM1 HRAS TIAM1 MEN1 MCF2 ALK TSC2 RARA SMAD4 ETS1 RAF1 AFF4 SRC BCL6 MYB APC LMO1 PAX5 KIT ROS1 RET SMAD2 WRN JUN AXL TAL2 NFKB2 FES BCR CSF1R CBFA2T2 SET NPM1 VHL NRAS MDM2 DCC MYC MYH11 BRCA1 RB1 LYL1 MAS1 BCL3 BRCA2 ERG TAL1 PTEN CDKN2A NOTCH1 EPS15 WT1 ERBB2 REL FGF3 LCK IL3 CBFB PBX1 TP53 BCL2 AKT2 PML EGFR LMO2 SKI NF2 DEK ABL1 KRAS RUNX1 ATM TP53 SRC APC FBXW7 EGFR ALK DDR2 CTNNB1 KRAS TERT AURKA HNF1A VHL PTPN11 PTEN ESR1 BRAF GNA11 KIT RHOA RET KDR FGFR1 GNAS FOXL2 SMAD4 PDGFRA SMARCB1 SMO IDH1 ERBB4 ERBB3 ROS1 FGFR2 MET IDH2 NRAS RB1 MLH1 STK11 CDH1 FGFR3 GNAQ HRAS CDK4 MAP2K1 H3F3A AKT1 PIK3R1 NOTCH1 CDKN2A ATM TP53 SRC APC FBXW7 EGFR ALK DDR2 CTNNB1 KRAS TERT AURKA HNF1A VHL PTPN11 PTEN ESR1 BRAF GNA11 KIT RHOA RET KDR FGFR1 GNAS FOXL2 SMAD4 PDGFRA SMARCB1 SMO IDH1 ERBB4 ERBB3 ROS1 FGFR2 MET IDH2 NRAS RB1 MLH1 STK11 CDH1 FGFR3 GNAQ HRAS CDK4 MAP2K1 H3F3A AKT1 PIK3R1 NOTCH1 CDKN2A
AgilentQXT-IDT-0720ME25,43.5488589863 43.0083941587 43.9750901466 45.6197864264 43.8746770818 43.7740867389 43.2101731298 43.8797145514 45.6718059198 44.6606469615 43.7602207042 44.578720707 45.0958423018 42.8510514756 44.8994649167 44.4174628931 43.4642566264 41.9051588466 44.1444969591 45.2570963383 44.0461865255 43.1979195486 45.0534064749 43.5812125265 43.3885330259 42.0748060574 46.1995553138 42.7829683924 44.763921143 45.3407482922 45.7767158746 45.4556781671 44.6570764596 44.0459109955 42.8400143415 43.239369155 45.7398094023 42.7189172973 43.8637070858 42.2050836388 44.5870615641 42.7688806126 43.211127859 44.9395270812 42.7757368206 46.3696927539 40.9280523715 44.2158948535 44.5764718172 43.4094018278 42.7680350586 44.774935516 44.0699042757 44.6708970329 45.3100002973 42.4695342924 43.943512301 44.0347460906 44.0170272964 42.6961447931 43.6727405565 45.3544731852 41.1290329866 44.4103089797 43.302244464 43.9838142175 44.3614654141 44.1676257321 45.5978538621 43.4835886063 43.6347163885 43.1030711312 44.5144862037 43.1667443398 45.3544731852 44.8994649167 41.9051588466 42.8997212072 43.9838142175 43.8797145514 44.1050795115 43.6452272129 43.1030711312 44.9958664782 43.3160265563 43.5561380156 43.239369155 44.3035492958 43.4094018278 44.2030257795 43.1451229089 45.4469946518 44.0461865255 43.6468986208 45.0534064749 43.8987098402 44.8398464057 43.2353767944 43.0175154354 43.7602207042 44.1378726451 46.0983519265 44.152700815 43.3697242301 43.4003920289 44.2852204359 43.1979195486 43.9047942633 42.8431497524 46.3327863692 45.7398094023 43.211127859 43.6243420453 45.359933277 44.2421363218 45.8230542743 44.8985402737 45.6197864264 44.6043510329 45.3638418384 42.3514702489 45.9923677471 42.579761101 44.774935516 42.7680350586 43.1667443398 45.3544731852 44.8994649167 41.9051588466 42.8997212072 43.9838142175 43.8797145514 44.1050795115 43.6452272129 43.1030711312 44.9958664782 43.3160265563 43.5561380156 43.239369155 44.3035492958 43.4094018278 44.2030257795 43.1451229089 45.4469946518 44.0461865255 43.6468986208 45.0534064749 43.8987098402 44.8398464057 43.2353767944 43.0175154354 43.7602207042 44.1378726451 46.0983519265 44.152700815 43.3697242301 43.4003920289 44.2852204359 43.1979195486 43.9047942633 42.8431497524 46.3327863692 45.7398094023 43.211127859 43.6243420453 45.359933277 44.2421363218 45.8230542743 44.8985402737 45.6197864264 44.6043510329 45.3638418384 42.3514702489 45.9923677471 42.579761101 44.774935516 42.7680350586
AgilentQXT-IDT-110465,43.8181804558 43.9446424741 43.7131006767 48.0060995269 44.6577525275 44.2260763091 44.3625719107 44.2355027648 45.9945868932 44.8155213847 44.5010398928 44.9749092456 45.6293463103 44.2322058204 45.7489726095 44.4444804715 44.3198877234 42.4556215673 44.5034640721 46.6894521953 44.6655119105 44.2749414927 45.7597261102 43.9206699809 44.0688526332 41.1559381246 47.5728527331 43.0942215725 45.672133944 45.76072183 46.5909483063 45.3137101162 44.6112577991 44.1044871008 45.4555729242 44.3633261997 44.9364484637 43.0939876895 44.6251409782 42.853020023 45.538930867 43.4647621462 44.1672038765 44.272402555 43.6098716429 47.5360001844 41.890845817 45.4221223035 44.4652972289 45.0398961104 43.9313285059 45.954054871 44.7781344477 45.0208583548 46.1546595446 43.1782988595 44.8281871354 43.7726015381 44.0634150948 43.8345132489 43.6951926789 46.4770038036 42.2068013315 45.9446844426 43.0035079851 45.1263513339 45.2381975035 43.533778805 45.3684696184 43.5086257082 44.2748223564 42.3878614706 44.675207432 44.1194232683 46.4770038036 45.7489726095 42.4556215673 44.2495877094 45.1263513339 44.2355027648 44.7982558778 44.1258544313 42.3878614706 45.1667709346 43.7408513749 43.8561640012 44.3633261997 45.03674859 45.0398961104 45.1707479779 44.208414698 45.2186670866 44.6655119105 45.54701438 45.7597261102 44.6271861482 46.1893081653 43.3627679647 42.6558373349 44.5010398928 44.4178215239 46.2488939972 45.1658943248 44.8193265927 44.9180045377 44.9271040428 44.2749414927 45.0918991382 43.5892078407 47.0778279921 44.9364484637 44.1672038765 45.4059808518 46.2420020617 45.7222384433 45.9710217241 44.1870383629 48.0060995269 45.2176090017 44.8084782772 42.6575765297 46.6543832902 43.6828411927 45.954054871 43.9313285059 44.1194232683 46.4770038036 45.7489726095 42.4556215673 44.2495877094 45.1263513339 44.2355027648 44.7982558778 44.1258544313 42.3878614706 45.1667709346 43.7408513749 43.8561640012 44.3633261997 45.03674859 45.0398961104 45.1707479779 44.208414698 45.2186670866 44.6655119105 45.54701438 45.7597261102 44.6271861482 46.1893081653 43.3627679647 42.6558373349 44.5010398928 44.4178215239 46.2488939972 45.1658943248 44.8193265927 44.9180045377 44.9271040428 44.2749414927 45.0918991382 43.5892078407 47.0778279921 44.9364484637 44.1672038765 45.4059808518 46.2420020617 45.7222384433 45.9710217241 44.1870383629 48.0060995269 45.2176090017 44.8084782772 42.6575765297 46.6543832902 43.6828411927 45.954054871 43.9313285059
AgilentQXT-IDT-1501199,44.7569000543 44.0077013413 44.3930447834 47.169296677 44.6232965399 43.7285861947 45.5037967351 44.2390072674 46.0593291235 44.6540383393 43.8343424138 45.1490934871 45.5203802382 43.7983571655 45.4797328672 44.4757847697 44.2802547825 42.3056456169 44.8319249191 45.339558535 44.3798487886 43.8468779012 44.9168666169 43.8942495143 43.8847827878 41.8244240168 46.3518462236 42.3175504269 45.1656537346 44.9721576042 46.4971329775 45.7764935416 45.0394203407 43.8755191963 44.354175416 43.7860505614 45.8414119152 43.8829413913 44.0999383842 43.1685113727 44.7788314789 43.2613604847 44.4466177899 43.3398747876 43.4694134046 47.2846120796 41.8358294651 45.2795831697 45.298958707 44.3887141158 42.7064697474 45.4985359157 44.2140664725 44.6901714799 45.5317055434 42.9606753351 44.9877977753 44.6735780759 43.8357620037 48.127080083 44.2480545094 45.726924268 42.060317249 45.5050686512 43.583718999 44.368342947 44.334893348 43.7058796813 45.849231423 43.3518600609 44.2037065237 44.0303066332 44.1506225346 44.0614334318 45.726924268 45.4797328672 42.3056456169 43.3025618476 44.368342947 44.2390072674 44.5397909568 43.5950532433 44.0303066332 44.8496060119 43.5384831257 43.573917331 43.7860505614 45.2335211321 44.3887141158 45.4330656332 44.285613214 46.1415889543 44.3798487886 44.0494473755 44.9168666169 44.5420760623 45.950990283 43.8147784311 43.3092046768 43.8343424138 44.4313737592 45.1231493601 45.0403876835 44.664175295 44.3533517513 45.0171548271 43.8468779012 44.4830618322 43.1838396276 45.8840594373 45.8414119152 44.4466177899 44.9397927862 45.9933569853 44.6546559163 45.9134370266 44.3456028786 47.169296677 44.9363679953 45.267134213 43.3546977273 45.7296473746 43.2888383645 45.4985359157 42.7064697474 44.0614334318 45.726924268 45.4797328672 42.3056456169 43.3025618476 44.368342947 44.2390072674 44.5397909568 43.5950532433 44.0303066332 44.8496060119 43.5384831257 43.573917331 43.7860505614 45.2335211321 44.3887141158 45.4330656332 44.285613214 46.1415889543 44.3798487886 44.0494473755 44.9168666169 44.5420760623 45.950990283 43.8147784311 43.3092046768 43.8343424138 44.4313737592 45.1231493601 45.0403876835 44.664175295 44.3533517513 45.0171548271 43.8468779012 44.4830618322 43.1838396276 45.8840594373 45.8414119152 44.4466177899 44.9397927862 45.9933569853 44.6546559163 45.9134370266 44.3456028786 47.169296677 44.9363679953 45.267134213 43.3546977273 45.7296473746 43.2888383645 45.4985359157 42.7064697474
AgilentQXT-IDT-GIAB,44.431796458 44.1893355405 43.4226584541 46.9008532185 44.7850533548 44.7965499755 45.0614780535 44.9774011214 46.0072415764 44.8619354949 44.5335537856 45.2243377028 45.6005386203 44.1161475681 45.955853801 44.7831761369 44.1296774468 42.533461623 45.0338271547 45.467191202 44.5098600848 44.4762138794 45.5236155509 44.2759934283 44.2634663738 42.0244474342 47.2945250992 43.2708716179 45.333139931 45.705523167 46.8206785633 46.2677251304 44.4986304916 43.9907190291 45.2736471475 43.6802321558 47.8265747126 44.0973499342 45.5067274763 43.5217381189 45.4080305252 42.9145411782 44.6575865048 43.7686799699 42.7644673812 47.2283495506 42.1905742049 45.1126142399 44.7505577558 44.4004019167 42.9770119288 45.3276287085 44.5444786209 45.3304485212 46.0397289694 42.9327443535 46.5793720969 44.8707130553 45.2148036335 46.4537527321 45.005471051 45.4727019816 42.6516939376 46.0645247144 44.2652990477 44.7425246595 43.7813161217 44.8680707091 45.9356114303 42.7874458582 44.2020029453 44.721006639 45.3319709331 43.9062939479 45.4727019816 45.955853801 42.533461623 44.1444727605 44.7425246595 44.9774011214 45.1833309821 44.0312682104 44.721006639 45.4674955468 43.3386278579 44.1137100134 43.6802321558 44.5125590034 44.4004019167 44.8506116339 44.6591237859 44.2459313603 44.5098600848 43.8160744015 45.5236155509 45.4985702391 45.9668430676 43.5880197107 43.2142939806 44.5335537856 44.6063597141 46.0668420486 44.696375735 45.1780620657 44.6233939275 45.2485233818 44.4762138794 45.1868694928 43.447864067 46.2028453306 47.8265747126 44.6575865048 45.5199148631 45.728533084 44.5874301178 46.0287441157 44.0956011648 46.9008532185 45.1240716473 45.5228452547 43.0262527921 46.5384211547 43.6530799828 45.3276287085 42.9770119288 43.9062939479 45.4727019816 45.955853801 42.533461623 44.1444727605 44.7425246595 44.9774011214 45.1833309821 44.0312682104 44.721006639 45.4674955468 43.3386278579 44.1137100134 43.6802321558 44.5125590034 44.4004019167 44.8506116339 44.6591237859 44.2459313603 44.5098600848 43.8160744015 45.5236155509 45.4985702391 45.9668430676 43.5880197107 43.2142939806 44.5335537856 44.6063597141 46.0668420486 44.696375735 45.1780620657 44.6233939275 45.2485233818 44.4762138794 45.1868694928 43.447864067 46.2028453306 47.8265747126 44.6575865048 45.5199148631 45.728533084 44.5874301178 46.0287441157 44.0956011648 46.9008532185 45.1240716473 45.5228452547 43.0262527921 46.5384211547 43.6530799828 45.3276287085 42.9770119288
AgilentQXT-Roche-0720ME25,45.3410094807 44.3985293066 45.3699812402 47.5956343845 44.8809736551 45.2187322092 44.8636827338 45.7120024379 47.3600604732 46.5529748367 45.3386193594 45.4504115629 45.4988290836 44.3448504322 46.3857101962 45.5095532374 45.943328504 43.0432473992 46.2149221034 47.6865552924 45.4783007101 44.5460128989 46.3024844208 44.4871279372 44.4774212782 42.2914500862 47.3030855997 44.2423735331 46.7572497225 46.5787787965 46.6041037363 46.7122853964 45.9908425677 44.0927603989 43.136576041 44.8396494107 46.3676164011 43.8388665442 45.7833574277 43.0566313772 45.7074324689 43.0718397969 44.4401773457 44.6845387778 43.6989795209 47.2272599895 41.9937354112 45.7831048676 46.5959904817 43.5981607966 42.8668983641 46.4579468002 45.1636483805 45.4540341847 46.955569268 43.383938515 47.3890223642 44.7417200579 45.5664727867 46.2101693114 45.6671124847 46.7411497103 44.2875369019 47.6219534388 44.7054333039 46.1605260582 46.9803431922 44.7209534152 46.9310931847 43.3824310466 44.720451534 44.0361519306 44.8911536661 44.3025293782 46.7411497103 46.3857101962 43.0432473992 45.2532793572 46.1605260582 45.7120024379 45.4679572386 44.8592644858 44.0361519306 45.7044451766 44.1251094795 45.1787199364 44.8396494107 45.6719981877 43.5981607966 45.4606526275 45.5575296963 46.1606379538 45.4783007101 46.106943755 46.3024844208 44.7119753418 45.6381335945 44.2379334355 44.2143768658 45.3386193594 46.389338853 45.8782312385 45.3378109805 45.1080375768 45.2905054687 45.9539325162 44.5460128989 46.0998218902 44.3123441861 47.2549802364 46.3676164011 44.4401773457 45.9171578752 47.3797782302 45.122884169 46.94403756 46.032493228 47.5956343845 45.533888714 46.0938739417 40.5609513669 48.0624526046 43.966667382 46.4579468002 42.8668983641 44.3025293782 46.7411497103 46.3857101962 43.0432473992 45.2532793572 46.1605260582 45.7120024379 45.4679572386 44.8592644858 44.0361519306 45.7044451766 44.1251094795 45.1787199364 44.8396494107 45.6719981877 43.5981607966 45.4606526275 45.5575296963 46.1606379538 45.4783007101 46.106943755 46.3024844208 44.7119753418 45.6381335945 44.2379334355 44.2143768658 45.3386193594 46.389338853 45.8782312385 45.3378109805 45.1080375768 45.2905054687 45.9539325162 44.5460128989 46.0998218902 44.3123441861 47.2549802364 46.3676164011 44.4401773457 45.9171578752 47.3797782302 45.122884169 46.94403756 46.032493228 47.5956343845 45.533888714 46.0938739417 40.5609513669 48.0624526046 43.966667382 46.4579468002 42.8668983641
AgilentQXT-Roche-110465,45.4210897946 43.6860073221 44.5684646214 45.6058041887 44.2810436604 44.1833718525 44.6953881281 44.4786158119 45.6097298779 44.5289690877 44.6552590962 44.53856069 45.2206102074 43.0600147084 45.0889020749 44.470273667 44.7274250949 42.1972779242 45.0461361387 44.9586682768 44.5150068104 44.119135353 45.4252296733 44.0471323008 44.3715871435 40.8383098916 45.9624577745 42.942582546 44.8919047023 45.58455818 45.083708282 45.7297601231 44.5932453616 43.2282846995 42.4138990024 43.6607582444 45.9881585256 43.5297246221 44.8005285859 41.6881487331 44.8208409296 42.4462033111 44.2652720809 44.5222507282 42.7128328023 47.0227049034 41.4023948979 44.3696106684 44.8321681102 43.4702350725 42.9822891184 44.9241453756 44.7711887579 44.5878353011 45.6394257155 42.7096417089 44.9064994781 44.3961519449 45.6795247303 45.3120142848 44.5830096742 45.0758592186 43.2584244166 45.4768494892 43.5072176631 44.7752886732 44.6332892221 43.9473347449 45.5735790289 42.6968912989 43.6840484324 45.437494136 44.6803211639 43.6814182705 45.0758592186 45.0889020749 42.1972779242 44.2336498294 44.7752886732 44.4786158119 44.5549605201 43.7893213594 45.437494136 44.3597493156 42.9567227441 44.2885339924 43.6607582444 44.145649968 43.4702350725 44.6349005481 44.2064842615 45.0972589261 44.5150068104 43.3499553467 45.4252296733 44.8093888024 44.7832980329 43.201542929 43.9889389914 44.6552590962 45.2432238286 45.4741933037 44.7801968997 44.2467626248 44.9289705428 45.0162508799 44.119135353 44.8952155919 43.1942374274 46.1886065781 45.9881585256 44.2652720809 44.7678262595 45.6343359361 44.5477977349 45.7366126741 44.9589354815 45.6058041887 44.8122163612 45.7875874477 42.108051178 45.153878092 43.2860298383 44.9241453756 42.9822891184 43.6814182705 45.0758592186 45.0889020749 42.1972779242 44.2336498294 44.7752886732 44.4786158119 44.5549605201 43.7893213594 45.437494136 44.3597493156 42.9567227441 44.2885339924 43.6607582444 44.145649968 43.4702350725 44.6349005481 44.2064842615 45.0972589261 44.5150068104 43.3499553467 45.4252296733 44.8093888024 44.7832980329 43.201542929 43.9889389914 44.6552590962 45.2432238286 45.4741933037 44.7801968997 44.2467626248 44.9289705428 45.0162508799 44.119135353 44.8952155919 43.1942374274 46.1886065781 45.9881585256 44.2652720809 44.7678262595 45.6343359361 44.5477977349 45.7366126741 44.9589354815 45.6058041887 44.8122163612 45.7875874477 42.108051178 45.153878092 43.2860298383 44.9241453756 42.9822891184
AgilentQXT-Roche-1501199,46.878798712 45.4123931836 45.6900643109 48.0888586547 45.2272248766 45.609646019 46.8657332698 46.0023952459 47.5357451864 47.3284316326 46.7705473648 47.0579402789 46.9266670038 44.8433169397 46.8347719025 46.3184759752 47.0808471417 43.3232580266 47.3834943889 46.8539176275 46.2926474104 45.6298169407 46.4284754884 45.903682275 46.0568451822 42.9239045141 47.8360547325 44.2906808116 46.8752844035 46.6344844996 47.4324217169 47.4268836794 45.7226495292 45.5372880358 43.2834883777 45.0623286674 47.6955612954 45.6544969704 46.3379280933 43.5203845246 46.3582330714 43.9434415203 45.327488098 46.8979995084 43.6609022183 48.1113321078 42.376943293 46.4720343417 47.6436158578 46.4138305539 45.5468244276 46.7965380186 46.1933433814 46.3411441059 48.2971424062 44.778584274 46.0805859822 45.8694618856 46.7541518009 48.7474830468 46.4259028574 46.0718886769 46.52994574 47.7525164693 44.8992262779 46.5261895139 46.9473726731 45.7811688102 47.1412637239 43.7464648124 45.2719616565 47.9128032538 45.8765458323 45.3608415579 46.0718886769 46.8347719025 43.3232580266 45.9634170455 46.5261895139 46.0023952459 46.5745441302 45.1356601601 47.9128032538 46.6749501632 44.7386819655 45.6016982527 45.0623286674 44.7654996438 46.4138305539 46.3160688681 46.627973446 47.9880651173 46.2926474104 45.2566314794 46.4284754884 46.0845876262 46.5480439166 44.7667513786 44.5730519678 46.7705473648 46.63496588 47.1045795593 46.4056003522 46.6244007242 46.3647380227 46.7286603599 45.6298169407 46.666540594 45.1166600661 48.490699564 47.6955612954 45.327488098 46.3697948985 48.3057478813 46.6137671405 47.5642630974 46.5901309257 48.0888586547 45.5602794844 46.5482249982 44.0455800243 48.265633914 44.8269665745 46.7965380186 45.5468244276 45.3608415579 46.0718886769 46.8347719025 43.3232580266 45.9634170455 46.5261895139 46.0023952459 46.5745441302 45.1356601601 47.9128032538 46.6749501632 44.7386819655 45.6016982527 45.0623286674 44.7654996438 46.4138305539 46.3160688681 46.627973446 47.9880651173 46.2926474104 45.2566314794 46.4284754884 46.0845876262 46.5480439166 44.7667513786 44.5730519678 46.7705473648 46.63496588 47.1045795593 46.4056003522 46.6244007242 46.3647380227 46.7286603599 45.6298169407 46.666540594 45.1166600661 48.490699564 47.6955612954 45.327488098 46.3697948985 48.3057478813 46.6137671405 47.5642630974 46.5901309257 48.0888586547 45.5602794844 46.5482249982 44.0455800243 48.265633914 44.8269665745 46.7965380186 45.5468244276
AgilentQXT-Roche-GIAB,45.9718501701 44.3511774333 44.4824655496 46.3100245896 44.348500879 44.9201392376 45.35433894 45.3885253601 46.3684366177 45.6735534554 44.9832575984 45.5005140399 45.6041185456 43.6295538282 46.1945968269 45.1762729488 44.6891822059 42.5046488248 45.6695968521 45.9490114992 44.93259164 44.4770127906 45.9239529427 44.4888831747 44.6067759431 42.6127597395 46.4929442294 42.5884649841 45.7213189997 45.6554075801 45.9358775633 46.1277199333 45.0145226327 43.830026598 42.7379877052 44.1353412393 46.5203489952 43.6416390512 45.2119148628 42.4060350871 45.6854158578 42.9308782618 45.2409225532 45.6029825359 43.4761507421 47.2240857917 41.8051794699 45.1599276779 47.8343616858 43.917134012 43.9427290647 45.5043505075 45.3587732326 45.3827417837 46.8334474612 43.3861926207 45.3112729583 44.6425881573 44.4063801133 46.0884333545 45.3457524741 45.4332919564 44.0365920867 46.670063146 44.0001551013 45.3681620744 46.5059311019 44.782037298 46.2321579893 43.9351022982 44.2640159564 44.2790167888 45.4962957445 44.4145555611 45.4332919564 46.1945968269 42.5046488248 44.8434334465 45.3681620744 45.3885253601 45.0506302018 44.6961450812 44.2790167888 45.7343949524 43.8116054136 44.5521142865 44.1353412393 44.646454419 43.9171340121 44.9433143722 45.1917799047 45.9267696474 44.93259164 44.0113240159 45.9239529427 45.0767136987 45.5268448855 43.8321226107 44.9003592003 44.9832575984 45.2800148301 45.9656714618 45.1185857103 44.6994245854 45.6802609501 45.8356172928 44.4770127906 45.4447257526 43.7231992899 46.8742841865 46.5203489952 45.2409225532 45.4849306425 45.4419667089 45.1318275821 45.9502530448 46.1154004376 46.3100245896 44.2877463001 45.0990242596 41.628339474 46.7802328575 43.7729084355 45.5043505075 43.9427290647 44.4145555611 45.4332919564 46.1945968269 42.5046488248 44.8434334465 45.3681620744 45.3885253601 45.0506302018 44.6961450812 44.2790167888 45.7343949524 43.8116054136 44.5521142865 44.1353412393 44.646454419 43.9171340121 44.9433143722 45.1917799047 45.9267696474 44.93259164 44.0113240159 45.9239529427 45.0767136987 45.5268448855 43.8321226107 44.9003592003 44.9832575984 45.2800148301 45.9656714618 45.1185857103 44.6994245854 45.6802609501 45.8356172928 44.4770127906 45.4447257526 43.7231992899 46.8742841865 46.5203489952 45.2409225532 45.4849306425 45.4419667089 45.1318275821 45.9502530448 46.1154004376 46.3100245896 44.2877463001 45.0990242596 41.628339474 46.7802328575 43.7729084355 45.5043505075 43.9427290647
AgilentQXT-Twist-0720ME25,47.6326981914 46.444000408 46.5925907295 49.3722773138 46.5279120316 48.0007192268 46.3825845745 47.6108842584 48.7750094307 48.7068267946 46.5003617142 48.8504791035 47.8636368897 45.9561193396 48.4919453434 47.1174864062 45.9326251458 43.9956774153 48.1195633369 48.2423693444 46.0317897855 46.3291127577 48.468940504 45.5453689111 45.8224721855 44.443800076 49.6475501354 45.8502542356 48.29110864 47.8183595922 47.9894731035 48.3898889465 47.1947352354 46.6623235493 45.7694653777 45.9048317696 48.3844962104 45.465487403 46.8554592887 45.1961132161 47.7119840533 45.0302821342 46.0347372702 47.4275612066 45.9648837685 49.2288533692 43.504721027 47.8440713255 46.7338425948 45.6090198405 45.4276012721 48.4032434576 46.7612432396 47.5461985885 48.7485603081 44.9092020014 48.0580898483 46.4896771398 48.1281889966 47.4788305668 47.3554896895 48.4060178021 46.3503757772 48.5372195233 46.5577392986 47.6051579766 47.5053382227 46.8537920016 47.956710525 44.504405187 46.3522123474 47.4993361592 47.2746945363 45.6096032992 48.4060178021 48.4919453434 43.9956774153 46.5878559964 47.6051579766 47.6108842584 46.7272865827 46.6591692363 47.4993361592 47.9026544468 45.0220802277 46.7372097717 45.9048317696 45.8435645859 45.6090198405 47.6360637073 46.3063327126 47.8939929198 46.0317897855 47.1640520259 48.468940504 46.9152026761 48.002960159 45.7471011521 46.2847699894 46.5003617142 47.8940591322 48.7341735989 47.8696872725 47.4212909268 46.7982283668 48.488184019 46.3291127577 47.4390671577 45.6306406803 49.5798789364 48.3844962104 46.0347372702 46.8514280576 47.8752441626 47.9276718395 49.3296504729 46.9151091814 49.3722773138 47.1987512825 47.5675572483 45.7394017862 49.2807906488 45.3951164647 48.4032434576 45.4276012721 45.6096032992 48.4060178021 48.4919453434 43.9956774153 46.5878559964 47.6051579766 47.6108842584 46.7272865827 46.6591692363 47.4993361592 47.9026544468 45.0220802277 46.7372097717 45.9048317696 45.8435645859 45.6090198405 47.6360637073 46.3063327126 47.8939929198 46.0317897855 47.1640520259 48.468940504 46.9152026761 48.002960159 45.7471011521 46.2847699894 46.5003617142 47.8940591322 48.7341735989 47.8696872725 47.4212909268 46.7982283668 48.488184019 46.3291127577 47.4390671577 45.6306406803 49.5798789364 48.3844962104 46.0347372702 46.8514280576 47.8752441626 47.9276718395 49.3296504729 46.9151091814 49.3722773138 47.1987512825 47.5675572483 45.7394017862 49.2807906488 45.3951164647 48.4032434576 45.4276012721
AgilentQXT-Twist-110465,44.9772579701 44.0895889712 44.3909420487 46.8362545835 44.2790597551 44.853717638 44.2969138426 44.4719564358 46.1342938985 44.1777634486 44.1698785134 45.3614172814 45.2267422929 43.4748584043 45.6036175024 45.0316786362 43.9694090027 42.5611632783 44.9298548406 45.9673701322 44.7101920046 44.3057556452 46.3205745032 43.194230692 43.9010361375 42.3788730806 46.8824528722 43.9440261149 44.9795170617 45.8747710996 45.6418540896 45.9292984023 45.2901060579 45.316558519 44.7063996744 45.0451376081 45.2798156132 43.2446473578 44.665022934 43.2649148226 45.3193807663 42.9278384933 43.9189225001 44.8910153295 43.7236009631 47.689620092 41.7504093443 45.3138053336 44.5943648042 44.4546956002 43.1615653845 45.6436963272 44.5847227829 44.8760035713 46.0554337822 43.1230992987 45.7084776571 44.2676558608 44.8910868506 45.2982447191 45.330280447 45.1066233608 44.4453382255 45.4906882167 43.9276807191 45.0645498473 45.6883036176 44.6006678339 45.5329479334 43.3852858689 44.0670545566 46.2363243885 43.9878763238 43.8212273353 45.1066233608 45.6036175024 42.5611632783 44.4206062279 45.0645498473 44.4719564358 44.6198941992 44.144380744 46.2363243885 45.1506136632 43.789690612 44.178963509 45.0451376081 44.0513850576 44.4546956002 44.3517210665 44.9625325334 45.310892051 44.7101920046 43.5686195786 46.3205745032 44.6934494425 45.2823996781 44.0750733898 44.479291196 44.1698785134 45.1709625698 46.0681290668 45.7666990548 43.9776018848 44.3587036619 45.048579355 44.3057556452 44.9186048915 43.7903200361 46.0600575523 45.2798156132 43.9189225001 45.0181437642 45.4024264349 44.3937881252 46.4005954333 46.21285741 46.8362545835 44.756030509 46.0455945831 44.8316041169 47.2551423774 43.6104395389 45.6436963272 43.1615653845 43.8212273353 45.1066233608 45.6036175024 42.5611632783 44.4206062279 45.0645498473 44.4719564358 44.6198941992 44.144380744 46.2363243885 45.1506136632 43.789690612 44.178963509 45.0451376081 44.0513850576 44.4546956002 44.3517210665 44.9625325334 45.310892051 44.7101920046 43.5686195786 46.3205745032 44.6934494425 45.2823996781 44.0750733898 44.479291196 44.1698785134 45.1709625698 46.0681290668 45.7666990548 43.9776018848 44.3587036619 45.048579355 44.3057556452 44.9186048915 43.7903200361 46.0600575523 45.2798156132 43.9189225001 45.0181437642 45.4024264349 44.3937881252 46.4005954333 46.21285741 46.8362545835 44.756030509 46.0455945831 44.8316041169 47.2551423774 43.6104395389 45.6436963272 43.1615653845
